timeframe,feature_set,folds_x,mean_roc_auc,std_roc_auc,mean_accuracy,mean_balanced_accuracy,mean_f1,mean_brier,mean_log_loss,mean_proba,mean_target_1_rate,cost_bps,folds_y,mean_net_return,median_net_return,mean_gross_return,mean_sharpe,mean_sortino,mean_max_drawdown,mean_turnover,mean_trade_count,mean_win_rate,mean_profit_factor,mean_active_bar_rate,mean_position_change_events_per_day,mean_turnover_units_per_day,drawdown_stop_rate,positive_fold_rate
M15,price_only,3,0.5210058072400301,0.003967175303461593,0.5131119481056801,0.5134617071587974,0.49311203472827136,0.24986474534740813,0.6928813978749387,0.499175613858891,0.49992865585490387,1.0,3,-0.07561943122857233,-0.08293751716067632,0.04305373412001653,-0.7376667788989355,-0.6703975601441784,-0.140327193804384,1193.6666666666667,671.0,0.5024363001366033,0.9311890091922951,0.5242134105545152,3.5527302858211427,3.8410817904492665,0.6666666666666666,0.0
M15,volume_assisted,3,0.5215508001080357,0.002722778540663025,0.5144622062784999,0.5148163980475221,0.49693710426066157,0.2497947489238079,0.692739767501144,0.4993313496653067,0.49992865585490387,1.0,3,-0.033953811874535465,-0.03725360549898893,0.09696018331071572,-0.3574167960888524,-0.2718290287090738,-0.13025641287511103,1244.3333333333333,703.6666666666666,0.5042790490015786,0.9979467268888085,0.5450036231716967,3.762825018474808,4.004879606069409,0.3333333333333333,0.3333333333333333
M5,price_only,3,0.5168337218401033,0.004454921803146277,0.5105077607800331,0.510687826186465,0.45927006964353784,0.24984490625321318,0.692836985715123,0.4963402634452793,0.5000155906795923,1.0,3,-0.14667328102911895,-0.14630637689704773,-0.07924670148583057,-1.7065545009183039,-1.2102767818023474,-0.15493166821984614,757.0,434.3333333333333,0.47385294039231085,0.7030763425720821,0.3257239281666146,2.365334701697592,2.4393187818445146,1.0,0.0
M5,volume_assisted,3,0.517113786061104,0.00375370664877225,0.510142156447199,0.5103407977403608,0.45638139661035315,0.24983581513766495,0.6928188113727592,0.49635873546010584,0.5000155906795923,1.0,3,-0.07612767854011156,-0.12586797431392205,0.032060134551257856,-0.7443416716074241,-0.6339186222889505,-0.14359574458460278,1087.0,627.0,0.48460778009788913,0.9167992446175822,0.49661169485879997,3.454428367164995,3.504907644862558,0.6666666666666666,0.3333333333333333
