timeframe,mean_roc_auc,best_roc_auc,mean_balanced_accuracy,mean_brier,mean_net_return,best_net_return,mean_sharpe,best_sharpe,mean_max_drawdown,positive_fold_rate,mean_turnover,score_mean_roc_auc,score_best_roc_auc,score_mean_balanced_accuracy,score_mean_brier,score_mean_net_return,score_best_net_return,score_mean_sharpe,score_positive_fold_rate,score_mean_max_drawdown,score_mean_turnover,lightgbm_screening_score
M15,0.5212783036740329,0.5215508001080357,0.5141390526031597,0.24982974713560802,-0.05478662155155389,-0.033953811874535465,-0.5475417874938939,-0.3574167960888524,-0.1352918033397475,0.16666666666666666,1219.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.85
M5,0.5169737539506036,0.517113786061104,0.5105143119634129,0.24984036069543908,-0.11140047978461526,-0.07612767854011156,-1.225448086262864,-0.7443416716074241,-0.14926370640222447,0.16666666666666666,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.15
