timeframe,feature_set,feature,mean_gain,mean_split,gain_share
M15,price_only,close_ema_5_ratio,3455.0106789271035,73.33333333333333,0.10414546534418913
M15,price_only,close_sma_5_ratio,1990.6398498217266,60.333333333333336,0.060004478352798915
M15,price_only,close_position_in_bar,1910.460156281789,123.66666666666667,0.05758759682308268
M15,price_only,minute_of_day_cos,1452.6588136355083,113.33333333333333,0.0437879480532858
M15,price_only,minute_of_day_sin,1019.1820983886719,85.0,0.030721524119895455
M15,price_only,upper_wick_pct,994.7013416290283,82.33333333333333,0.029983593027450118
M15,price_only,log_ret_3,975.1793001492819,72.33333333333333,0.029395134037503344
M15,price_only,log_ret_2,918.9484346707662,77.0,0.027700149507445378
M15,price_only,roc_5,779.1315981547037,65.66666666666667,0.023485606961823058
M15,price_only,close_ema_200_ratio,723.0687770843506,67.0,0.021795687846813825
M15,price_only,rolling_vol_200,716.9004131952921,70.0,0.0216097529287088
M15,price_only,log_ret_48,687.3033771514893,64.0,0.020717600232802294
M15,price_only,high_rel_prev_close,685.1606550216675,63.666666666666664,0.020653011490812393
M15,price_only,close_sma_200_ratio,681.4736843109131,61.666666666666664,0.020541873981824676
M15,price_only,lower_wick_pct,659.4743658701578,62.0,0.01987874165918337
M15,price_only,bb_width_pct_20,635.6208473841349,57.0,0.019159717605806342
M15,price_only,true_range_pct,620.3886725107828,55.333333333333336,0.01870056940401788
M15,price_only,rolling_vol_10,617.6313471794128,58.0,0.018617454485881063
M15,price_only,close_sma_100_ratio,592.2125506401062,53.666666666666664,0.017851247767556994
M15,price_only,rsi_14,590.1077097256979,56.666666666666664,0.017787800890867567
M15,price_only,log_ret_6,588.9913687705994,55.0,0.017754150677002638
M15,price_only,rolling_vol_5,585.5087933540344,56.0,0.017649174319167755
M15,price_only,rolling_vol_100,581.1573095321655,55.666666666666664,0.01751800618405016
M15,price_only,log_ret_12,573.4775681495667,54.333333333333336,0.01728651334239499
M15,price_only,rolling_vol_20,572.8469033241272,53.666666666666664,0.017267503015705638
M15,price_only,rolling_vol_50,567.0205183029175,53.666666666666664,0.01709187647335969
M15,price_only,log_ret_24,557.8892722129822,55.666666666666664,0.016816630472237654
M15,price_only,low_rel_prev_close,549.6003141403198,52.666666666666664,0.016566773821732605
M15,price_only,roc_10,528.8398043314616,49.0,0.015940983294365104
M15,price_only,close_rel_prev_close,524.8756413459778,45.0,0.015821490292117244
M15,price_only,open_rel_prev_close,519.811475276947,51.666666666666664,0.015668839553566346
M15,price_only,atr_pct_14,508.04229497909546,49.666666666666664,0.015314077478208581
M15,price_only,close_ema_10_ratio,502.1935456593831,37.333333333333336,0.015137776801832061
M15,price_only,open_to_close_pct,497.0067289670308,45.0,0.014981428967258136
M15,price_only,high_low_range_pct,482.0898764928182,43.0,0.014531785626971872
M15,price_only,close_ema_100_ratio,473.7589639027913,41.666666666666664,0.014280664328354196
M15,price_only,close_sma_10_ratio,452.181400458018,35.0,0.013630245098203651
M15,price_only,bb_position_20,443.03324524561566,40.666666666666664,0.013354489400125066
M15,price_only,close_sma_50_ratio,419.1249643961589,39.0,0.012633814627733492
M15,price_only,close_sma_20_ratio,407.3062837918599,37.0,0.012277560449187428
M15,price_only,close_ema_50_ratio,405.083727200826,36.666666666666664,0.012210565232113627
M15,price_only,close_ema_20_ratio,355.9360996882121,31.666666666666668,0.010729092955028361
M15,price_only,roc_20,352.61340014139813,34.666666666666664,0.010628935785439142
M15,price_only,month_cos,346.8276972770691,28.666666666666668,0.010454535538046601
M15,price_only,month_sin,237.43638610839844,23.0,0.00715711910001406
M15,price_only,day_of_week_sin,150.23222732543945,15.0,0.0045284969218562605
M15,price_only,day_of_week_cos,138.33456659317017,13.666666666666666,0.004169862020659877
M15,price_only,log_ret_1,129.03282324473062,11.333333333333334,0.0038894766674556214
M15,price_only,gap_minutes_from_prev_bar,15.947446664174398,2.3333333333333335,0.00048070886264462435
M15,price_only,is_after_gap,3.3993666966756186,0.3333333333333333,0.00010246817141843367
M15,volume_assisted,close_ema_5_ratio,2806.816489537557,54.0,0.10382959760564321
M15,volume_assisted,close_sma_5_ratio,2307.364729086558,52.333333333333336,0.08535390619355473
M15,volume_assisted,close_position_in_bar,1434.9788071314495,87.33333333333333,0.05308265526886369
M15,volume_assisted,minute_of_day_cos,1153.1118200620015,93.33333333333333,0.04265584754743776
M15,volume_assisted,volume_z20,1071.7242118517559,86.0,0.03964516172524216
M15,volume_assisted,upper_wick_pct,860.2250517209371,65.0,0.03182139669743571
M15,volume_assisted,roc_5,826.4980974197388,64.0,0.03057377110217127
M15,volume_assisted,log_ret_2,812.1687841415405,59.333333333333336,0.03004370195187721
M15,volume_assisted,minute_of_day_sin,777.7937415440878,60.0,0.028772102310833915
M15,volume_assisted,lower_wick_pct,643.6964556376139,53.666666666666664,0.023811583057944664
M15,volume_assisted,log_ret_3,636.6411655743917,45.333333333333336,0.023550594165017025
M15,volume_assisted,rolling_vol_50,556.2794334093729,50.0,0.02057785749174734
M15,volume_assisted,bb_width_pct_20,521.6786963144938,45.666666666666664,0.01929790897255795
M15,volume_assisted,close_ema_200_ratio,511.159485022227,43.666666666666664,0.01890878290048448
M15,volume_assisted,rolling_vol_200,486.6822506586711,44.666666666666664,0.0180033224245537
M15,volume_assisted,close_sma_100_ratio,486.48112773895264,42.0,0.017995882496827226
M15,volume_assisted,log_ret_6,468.96764548619586,41.666666666666664,0.017348024747040062
M15,volume_assisted,close_sma_200_ratio,467.8078285853068,41.666666666666664,0.01730512086552005
M15,volume_assisted,open_to_close_pct,462.9498637517293,36.666666666666664,0.017125415303815936
M15,volume_assisted,low_rel_prev_close,448.8069092432658,39.333333333333336,0.01660223992664312
M15,volume_assisted,log_ret_48,440.5707971254985,39.666666666666664,0.01629757013073365
M15,volume_assisted,rolling_vol_5,437.456805229187,38.0,0.016182377517769304
M15,volume_assisted,roc_10,435.8571529388428,37.333333333333336,0.016123203270277706
M15,volume_assisted,close_rel_prev_close,431.7253888448079,35.333333333333336,0.015970361285458184
M15,volume_assisted,high_rel_prev_close,425.12098328272504,36.0,0.015726051486619673
M15,volume_assisted,close_ema_100_ratio,423.85279671351117,35.333333333333336,0.015679138800428333
M15,volume_assisted,rolling_vol_100,422.3687702814738,38.666666666666664,0.015624241778179485
M15,volume_assisted,rsi_14,410.1075795491536,37.333333333333336,0.015170676500702938
M15,volume_assisted,true_range_pct,403.9280611673991,33.666666666666664,0.014942084104525319
M15,volume_assisted,close_ema_10_ratio,400.72485144933063,32.0,0.014823591150919956
M15,volume_assisted,log_ret_12,395.21218236287433,35.0,0.014619666806341901
M15,volume_assisted,open_rel_prev_close,378.87979014714557,34.666666666666664,0.01401549987272949
M15,volume_assisted,rolling_vol_10,377.2850298881531,35.0,0.013956506590986321
M15,volume_assisted,close_sma_10_ratio,371.5030468304952,28.0,0.013742619799143305
M15,volume_assisted,close_sma_50_ratio,336.8890202840169,30.333333333333332,0.012462179677308328
M15,volume_assisted,high_low_range_pct,326.37806781133014,28.0,0.012073359115023932
M15,volume_assisted,atr_pct_14,309.77373520533246,27.333333333333332,0.011459132577800244
M15,volume_assisted,log_ret_24,305.14181725184125,29.0,0.011287788929561744
M15,volume_assisted,rolling_vol_20,303.95209709803265,28.333333333333332,0.01124377886859277
M15,volume_assisted,bb_position_20,298.4382603963216,27.0,0.011039811331656926
M15,volume_assisted,close_ema_50_ratio,275.89096037546796,24.333333333333332,0.010205742878309393
M15,volume_assisted,roc_20,262.9414482116699,24.333333333333332,0.009726715253180236
M15,volume_assisted,month_cos,229.8056000073751,19.0,0.008500955821383377
M15,volume_assisted,close_ema_20_ratio,212.2908994356791,18.666666666666668,0.007853053003610585
M15,volume_assisted,close_sma_20_ratio,211.39376624425253,18.0,0.00781986630308645
M15,volume_assisted,day_of_week_sin,134.6531000137329,13.0,0.004981079897062235
M15,volume_assisted,day_of_week_cos,106.6103138923645,9.666666666666666,0.003943722731185488
M15,volume_assisted,log_ret_1,101.85371383031209,9.333333333333334,0.003767766849404543
M15,volume_assisted,month_sin,95.01922623316447,9.333333333333334,0.0035149458688745645
M15,volume_assisted,gap_minutes_from_prev_bar,14.763806502024332,1.6666666666666667,0.0005461418991753624
M15,volume_assisted,is_after_gap,10.691439946492514,1.0,0.0003954971447570881
M5,price_only,close_ema_5_ratio,11920.534644762674,62.0,0.3840128098853954
M5,price_only,close_position_in_bar,3613.0695905685425,96.66666666666667,0.11639285041592395
M5,price_only,close_ema_10_ratio,2580.549809773763,31.333333333333332,0.08313085050558774
M5,price_only,open_to_close_pct,855.6863425572714,35.666666666666664,0.02756541770803408
M5,price_only,minute_of_day_cos,681.3020321528116,40.666666666666664,0.021947732676787162
M5,price_only,rsi_14,659.3025248845419,39.666666666666664,0.02123903186311232
M5,price_only,bb_position_20,643.2408692042032,24.0,0.020721615345059716
M5,price_only,minute_of_day_sin,617.6251335144043,39.666666666666664,0.019896419921141113
M5,price_only,log_ret_2,577.2921841939291,38.0,0.01859711836621247
M5,price_only,close_sma_20_ratio,568.8987633387247,21.666666666666668,0.01832672939262949
M5,price_only,close_ema_20_ratio,568.8969570795695,23.333333333333332,0.01832667120508386
M5,price_only,upper_wick_pct,429.19261423746747,25.0,0.0138261803423222
M5,price_only,bb_width_pct_20,418.8536736170451,27.666666666666668,0.013493117626831414
M5,price_only,log_ret_3,391.43830490112305,26.0,0.012609948114021783
M5,price_only,close_rel_prev_close,387.1678187052409,21.666666666666668,0.012472376985500463
M5,price_only,lower_wick_pct,382.10437711079913,24.333333333333332,0.012309261278670445
M5,price_only,roc_5,327.6943998336792,21.333333333333332,0.010556476786813174
M5,price_only,rolling_vol_5,290.3175331751506,20.333333333333332,0.009352403645969658
M5,price_only,close_ema_200_ratio,287.4838167826335,19.666666666666668,0.009261117187204414
M5,price_only,rolling_vol_200,264.86880524953204,19.666666666666668,0.008532588276109605
M5,price_only,atr_pct_14,262.38667074839276,16.666666666666668,0.008452627815215785
M5,price_only,close_sma_5_ratio,257.67445373535156,17.666666666666668,0.0083008265957325
M5,price_only,log_ret_12,243.64188734690347,13.666666666666666,0.00784877596131747
M5,price_only,log_ret_6,238.06661891937256,15.333333333333334,0.007669172062790811
M5,price_only,log_ret_24,237.80280049641928,15.666666666666666,0.007660673311944738
M5,price_only,high_rel_prev_close,217.33916600545248,15.666666666666666,0.007001449710359349
M5,price_only,log_ret_48,211.64544041951498,13.0,0.006818029786158814
M5,price_only,rolling_vol_10,210.40041287740073,14.333333333333334,0.006777921977316359
M5,price_only,month_cos,207.58324845631918,14.333333333333334,0.0066871687302945074
M5,price_only,roc_20,203.80847613016763,13.666666666666666,0.0065655667241059715
M5,price_only,roc_10,197.50980122884116,13.0,0.006362658723794451
M5,price_only,close_sma_200_ratio,190.55369790395102,13.666666666666666,0.00613857206465976
M5,price_only,close_sma_50_ratio,161.6051664352417,10.666666666666666,0.00520601264156048
M5,price_only,close_sma_10_ratio,159.3520654042562,10.666666666666666,0.005133430355308365
M5,price_only,rolling_vol_50,158.58922672271729,12.333333333333334,0.005108855968813399
M5,price_only,open_rel_prev_close,155.15847174326578,11.666666666666666,0.004998336273267167
M5,price_only,rolling_vol_100,136.65513292948404,10.333333333333334,0.004402262410651982
M5,price_only,low_rel_prev_close,134.84196345011392,9.666666666666666,0.0043438522531111644
M5,price_only,close_ema_50_ratio,132.6437028249105,8.666666666666666,0.00427303661734472
M5,price_only,true_range_pct,128.13093344370523,8.666666666666666,0.004127660482625562
M5,price_only,close_ema_100_ratio,122.91876729329427,8.666666666666666,0.003959753704225463
M5,price_only,rolling_vol_20,122.55693022410075,9.333333333333334,0.003948097342006614
M5,price_only,high_low_range_pct,110.13876597086589,7.333333333333333,0.0035480536954241807
M5,price_only,log_ret_1,98.73226674397786,6.0,0.0031806002254577696
M5,price_only,close_sma_100_ratio,88.8211498260498,6.666666666666667,0.0028613195916458952
M5,price_only,month_sin,74.4793332417806,5.666666666666667,0.002399306649314832
M5,price_only,day_of_week_sin,68.37129020690918,5.666666666666667,0.0022025397392205414
M5,price_only,gap_minutes_from_prev_bar,45.09540112813314,3.0,0.0014527210579209893
M5,price_only,day_of_week_cos,0.0,0.0,0.0
M5,price_only,is_after_gap,0.0,0.0,0.0
M5,volume_assisted,close_ema_5_ratio,10292.48606745402,48.666666666666664,0.3297608627228003
M5,volume_assisted,close_ema_10_ratio,3802.107477823893,35.666666666666664,0.12181568513525882
M5,volume_assisted,close_position_in_bar,3217.0447524388633,80.66666666666667,0.10307086606963108
M5,volume_assisted,open_to_close_pct,1071.5142755508423,38.333333333333336,0.03433023563109337
M5,volume_assisted,minute_of_day_cos,725.7411791483561,41.333333333333336,0.023252014700917
M5,volume_assisted,minute_of_day_sin,713.4234062830607,44.666666666666664,0.02285736569383915
M5,volume_assisted,bb_position_20,670.7819703420004,24.0,0.021491177135359873
M5,volume_assisted,log_ret_2,640.0811929702759,35.666666666666664,0.020507555222635265
M5,volume_assisted,rsi_14,617.4067023595175,35.0,0.019781087434716918
M5,volume_assisted,close_sma_20_ratio,613.2879657745361,24.333333333333332,0.0196491272726443
M5,volume_assisted,upper_wick_pct,608.4310131072998,32.666666666666664,0.019493515412569384
M5,volume_assisted,bb_width_pct_20,519.1523345311483,33.333333333333336,0.016633116683139205
M5,volume_assisted,lower_wick_pct,436.4242010116577,28.666666666666668,0.013982590804158597
M5,volume_assisted,close_rel_prev_close,379.5961414972941,20.333333333333332,0.012161877148633128
M5,volume_assisted,close_ema_20_ratio,372.09222507476807,14.666666666666666,0.01192145924210648
M5,volume_assisted,log_ret_3,368.58190027872723,24.333333333333332,0.011808991979523533
M5,volume_assisted,close_ema_200_ratio,330.5052652359009,22.0,0.010589055033384965
M5,volume_assisted,roc_5,305.0523509979248,20.333333333333332,0.009773569357434893
M5,volume_assisted,close_sma_5_ratio,301.0151996612549,15.333333333333334,0.009644223104352999
M5,volume_assisted,rolling_vol_5,293.8090991973877,21.0,0.009413346920478812
M5,volume_assisted,rolling_vol_200,268.41256586710614,19.333333333333332,0.008599667631891385
M5,volume_assisted,close_sma_10_ratio,267.6875327428182,15.0,0.008576438302553372
M5,volume_assisted,log_ret_12,254.08573309580484,14.333333333333334,0.008140650373690883
M5,volume_assisted,roc_20,253.75906658172607,18.0,0.008130184308369124
M5,volume_assisted,rolling_vol_10,234.8661028544108,15.666666666666666,0.007524872824119414
M5,volume_assisted,volume_z20,218.3127295176188,15.666666666666666,0.006994519454026061
M5,volume_assisted,roc_10,215.79351425170898,14.333333333333334,0.006913806340204342
M5,volume_assisted,rolling_vol_50,203.56026649475098,14.666666666666666,0.006521865432264487
M5,volume_assisted,atr_pct_14,197.35946623484293,12.666666666666666,0.006323198052014649
M5,volume_assisted,close_sma_200_ratio,193.63403383890787,13.333333333333334,0.006203838959095042
M5,volume_assisted,log_ret_24,191.15900103251138,12.333333333333334,0.006124541406671302
M5,volume_assisted,month_cos,190.2136754989624,13.333333333333334,0.006094254130938889
M5,volume_assisted,rolling_vol_100,185.97356732686362,13.0,0.005958405345746882
M5,volume_assisted,close_sma_50_ratio,179.37540213267008,11.666666666666666,0.005747006794166133
M5,volume_assisted,high_rel_prev_close,178.7724994023641,13.0,0.005727690399353387
M5,volume_assisted,log_ret_6,178.13153330485025,11.0,0.00570715449268254
M5,volume_assisted,log_ret_1,168.85173543294272,6.0,0.005409839137375929
M5,volume_assisted,low_rel_prev_close,160.51349957784018,11.333333333333334,0.005142690478524749
M5,volume_assisted,true_range_pct,159.263232866923,10.666666666666666,0.00510263319532576
M5,volume_assisted,log_ret_48,151.04412428538004,10.666666666666666,0.0048393012540533424
M5,volume_assisted,close_ema_50_ratio,149.11436653137207,10.0,0.004777473763820451
M5,volume_assisted,open_rel_prev_close,122.83259614308675,9.0,0.00393543237359418
M5,volume_assisted,rolling_vol_20,118.31559975941975,7.666666666666667,0.003790712369638687
M5,volume_assisted,high_low_range_pct,117.08383274078369,8.666666666666666,0.0037512477979038433
M5,volume_assisted,month_sin,110.39096641540527,8.0,0.00353681511768637
M5,volume_assisted,close_ema_100_ratio,100.33170541127522,7.333333333333333,0.0032145265505378615
M5,volume_assisted,close_sma_100_ratio,84.15886656443278,6.333333333333333,0.002696365121330233
M5,volume_assisted,day_of_week_sin,51.80686632792155,4.0,0.0016598396950258025
M5,volume_assisted,gap_minutes_from_prev_bar,21.277533213297527,1.3333333333333333,0.0006817106832154937
M5,volume_assisted,day_of_week_cos,7.353399912516276,0.6666666666666666,0.00023559550950132623
M5,volume_assisted,is_after_gap,0.0,0.0,0.0
