rows,target_1_rate,proba_mean,accuracy,balanced_accuracy,f1,brier,roc_auc,log_loss,timeframe,feature_set,fold,split,best_iteration,feature_count
70486,0.4971199954600914,0.49615323743953205,0.5208126436455466,0.5203695063711293,0.4791833713686548,0.2493776381260015,0.5283051469281076,0.6919008770647479,M5,price_only,fold_1,validation,46,50
70571,0.49544430431763753,0.49787762581144135,0.5138229584390188,0.5134386174617918,0.48992031398667935,0.2498226546842666,0.5187657213288052,0.6927927441257451,M5,price_only,fold_1,test,46,50
70571,0.49544430431763753,0.4970789247900743,0.5132844936305281,0.5125959005494996,0.4708202378751464,0.24969764061086386,0.5185831641178829,0.6925420150657233,M5,price_only,fold_2,validation,22,50
70003,0.49756439009756726,0.4956225190679881,0.5129494450237847,0.5123262828903572,0.4398994628160268,0.24968876472935575,0.5199965066328639,0.6925243159767001,M5,price_only,fold_2,test,22,50
70003,0.49756439009756726,0.4953499426358207,0.5136637001271374,0.5130770188047413,0.44549407951528575,0.2496814087262195,0.5200512346691013,0.6925095046155435,M5,price_only,fold_3,validation,29,50
70829,0.5070380776235722,0.4955206454564084,0.504750878877296,0.5062985782072462,0.44799043212790735,0.2500232993460172,0.5117389375586411,0.6931938970429236,M5,price_only,fold_3,test,29,50
70486,0.4971199954600914,0.4962037524894898,0.5205714609993474,0.5201265995776714,0.4787524486742453,0.2493623592490774,0.5285036682430565,0.6918701673960872,M5,volume_assisted,fold_1,validation,46,51
70571,0.49544430431763753,0.49793630557551904,0.5123067548993212,0.5118984007870409,0.4869184096363989,0.2498169265110032,0.5189264533957113,0.6927813203536451,M5,volume_assisted,fold_1,test,46,51
70571,0.49544430431763753,0.4970899585642609,0.5127035184424197,0.5119989953309043,0.4691826811761982,0.24969424080043454,0.518628081913313,0.6925352169401854,M5,volume_assisted,fold_2,validation,22,51
70003,0.49756439009756726,0.4956462486350605,0.5125923174721083,0.5119543247218084,0.43752060666007253,0.2496951508576177,0.5196171432090464,0.6925370937196926,M5,volume_assisted,fold_2,test,22,51
70003,0.49756439009756726,0.49534972944698047,0.5136637001271374,0.5130404157674693,0.4407024691560842,0.24966374464244273,0.5204942667994559,0.6924741112409988,M5,volume_assisted,fold_3,validation,29,51
70829,0.5070380776235722,0.4954936521697379,0.5055273969701676,0.5071696677122333,0.444705173534588,0.249995368044374,0.5127977615785545,0.6931380200449401,M5,volume_assisted,fold_3,test,29,51
23226,0.49836390252303453,0.4987078366024016,0.5228192542839921,0.5227297539139106,0.5085362068200967,0.248939477376081,0.5365347295433257,0.6910187560442766,M15,price_only,fold_1,validation,166,50
23290,0.494461142121082,0.501627988734943,0.5115070845856591,0.5115722407884087,0.511611933891393,0.25013716968723865,0.5207854252070354,0.6934357481834813,M15,price_only,fold_1,test,166,50
23290,0.494461142121082,0.5006327036877012,0.514555603263203,0.5145902130508979,0.5133017649591046,0.24961936301786888,0.5218229474366518,0.6923854177195696,M15,price_only,fold_2,validation,32,50
22985,0.49497498368501197,0.49846530195924266,0.5155971285621057,0.5150942932186868,0.4872904770675999,0.2494659495048594,0.5250785799538613,0.6920778706101303,M15,price_only,fold_2,test,32,50
22985,0.49497498368501197,0.49731180029418137,0.5169023276049598,0.51618272961996,0.4767200754005655,0.249453792036192,0.5254831180007157,0.6920532539685135,M15,price_only,fold_3,validation,59,50
23382,0.5103498417586178,0.49743355088248736,0.5122316311692755,0.5137185874692966,0.48043369322582113,0.24999111685012634,0.5171534165591936,0.693130574831205,M15,price_only,fold_3,test,59,50
23226,0.49836390252303453,0.49878265483124956,0.5222595367260828,0.5221913042253161,0.5112324905294687,0.24897667614313287,0.5358320618017196,0.6910958472512638,M15,volume_assisted,fold_1,validation,118,51
23290,0.494461142121082,0.5015638614493209,0.5142121082009447,0.5143636982671151,0.518060998466519,0.25001128605109524,0.5216024581983498,0.693179946523199,M15,volume_assisted,fold_1,test,118,51
23290,0.494461142121082,0.5002346674707658,0.5120652640618291,0.5120596093275267,0.5090296379504018,0.24966041294779173,0.5203112251029918,0.6924675024942493,M15,volume_assisted,fold_2,validation,25,51
22985,0.49497498368501197,0.49875275742809483,0.5167718077006743,0.5162896435170599,0.48963837706198593,0.2495349287691207,0.524247382046322,0.6922163244711577,M15,volume_assisted,fold_2,test,25,51
22985,0.49497498368501197,0.49776384775653487,0.5200783119425713,0.5194303125988344,0.4841229013702474,0.24940490184669678,0.5267157531908568,0.6919550935809874,M15,volume_assisted,fold_3,validation,49,51
23382,0.5103498417586178,0.49767743011850446,0.5124027029338808,0.5137958523583911,0.4831119372534796,0.24983803195120777,0.518802560079435,0.6928230315090752,M15,volume_assisted,fold_3,test,49,51
