timeframe,feature_set,fold,feature,importance_gain,importance_split
M5,price_only,fold_2,close_ema_50_ratio,73.67729949951172,5.0
M5,price_only,fold_2,rolling_vol_50,57.938801765441895,4.0
M5,price_only,fold_2,close_sma_100_ratio,25.033599853515625,2.0
M5,price_only,fold_2,close_ema_100_ratio,151.33100128173828,9.0
M5,price_only,fold_2,rolling_vol_100,82.96979904174805,6.0
M5,price_only,fold_2,close_sma_200_ratio,170.5550022125244,11.0
M5,price_only,fold_2,close_ema_200_ratio,206.23599815368652,12.0
M5,price_only,fold_2,rolling_vol_200,135.67559909820557,10.0
M5,price_only,fold_2,roc_5,230.06330108642578,15.0
M5,price_only,fold_2,roc_10,135.16400051116943,7.0
M5,price_only,fold_2,roc_20,129.9601001739502,9.0
M5,price_only,fold_2,rsi_14,585.6384973526001,32.0
M5,price_only,fold_2,true_range_pct,69.01650047302246,5.0
M5,price_only,fold_2,atr_pct_14,193.38709831237793,11.0
M5,price_only,fold_2,bb_width_pct_20,244.6757001876831,15.0
M5,price_only,fold_2,bb_position_20,545.8882970809937,16.0
M5,price_only,fold_3,minute_of_day_sin,564.9853973388672,34.0
M5,price_only,fold_3,minute_of_day_cos,539.7960023880005,33.0
M5,price_only,fold_3,day_of_week_sin,37.87290000915527,3.0
M5,price_only,fold_3,day_of_week_cos,0.0,0.0
M5,price_only,fold_3,month_sin,41.367300033569336,3.0
M5,price_only,fold_3,month_cos,164.65929794311523,12.0
M5,price_only,fold_3,is_after_gap,0.0,0.0
M5,price_only,fold_3,gap_minutes_from_prev_bar,63.71290111541748,4.0
M5,price_only,fold_3,open_rel_prev_close,97.95789909362793,7.0
M5,price_only,fold_3,high_rel_prev_close,161.48840045928955,11.0
M5,price_only,fold_3,low_rel_prev_close,131.8981008529663,9.0
M5,price_only,fold_3,close_rel_prev_close,300.6067008972168,18.0
M5,price_only,fold_3,log_ret_1,131.5467014312744,8.0
M5,price_only,fold_3,log_ret_2,513.6192016601562,37.0
M5,price_only,fold_3,log_ret_3,336.711501121521,20.0
M5,price_only,fold_3,log_ret_6,257.9423007965088,15.0
M5,price_only,fold_3,log_ret_12,176.2588014602661,11.0
M5,price_only,fold_3,log_ret_24,214.94490146636963,13.0
M5,price_only,fold_3,log_ret_48,157.82060050964355,9.0
M5,price_only,fold_3,open_to_close_pct,885.332407951355,36.0
M5,price_only,fold_3,high_low_range_pct,75.47809886932373,5.0
M5,price_only,fold_3,upper_wick_pct,349.10630226135254,19.0
M5,price_only,fold_3,lower_wick_pct,388.98290061950684,23.0
M5,price_only,fold_3,close_position_in_bar,4069.141812324524,91.0
M5,price_only,fold_3,close_sma_5_ratio,346.50029850006104,23.0
M5,price_only,fold_3,close_ema_5_ratio,12117.280519485474,62.0
M5,price_only,fold_3,rolling_vol_5,273.77660274505615,18.0
M5,price_only,fold_3,close_sma_10_ratio,203.01439666748047,12.0
M5,price_only,fold_3,close_ema_10_ratio,2198.2038068771362,30.0
M5,price_only,fold_3,rolling_vol_10,175.98019886016846,12.0
M5,price_only,fold_3,close_sma_20_ratio,535.9947938919067,20.0
M5,price_only,fold_3,close_ema_20_ratio,374.44580364227295,16.0
M5,price_only,fold_3,rolling_vol_20,121.33500003814697,9.0
M5,price_only,fold_3,close_sma_50_ratio,146.0921983718872,9.0
M5,price_only,fold_3,close_ema_50_ratio,160.96259880065918,10.0
M5,price_only,fold_3,rolling_vol_50,87.21349716186523,6.0
M5,price_only,fold_3,close_sma_100_ratio,87.79899978637695,6.0
M5,price_only,fold_3,close_ema_100_ratio,94.81420040130615,7.0
M5,price_only,fold_3,rolling_vol_100,151.32640075683594,11.0
M5,price_only,fold_3,close_sma_200_ratio,195.3975019454956,14.0
M5,price_only,fold_3,close_ema_200_ratio,213.24700164794922,15.0
M5,price_only,fold_3,rolling_vol_200,241.38609790802002,17.0
M5,price_only,fold_3,roc_5,248.77649974822998,15.0
M5,price_only,fold_3,roc_10,208.0598030090332,13.0
M5,price_only,fold_3,roc_20,137.4955997467041,9.0
M5,price_only,fold_3,rsi_14,661.5627021789551,36.0
M5,price_only,fold_3,true_range_pct,204.6083002090454,13.0
M5,price_only,fold_3,atr_pct_14,329.98780250549316,21.0
M5,price_only,fold_3,bb_width_pct_20,299.47650051116943,21.0
M5,price_only,fold_3,bb_position_20,821.2639007568359,24.0
M5,volume_assisted,fold_1,minute_of_day_sin,1083.931411743164,72.0
