track,fold,study_name,database_path,target_trials,finished_trials,complete_trials,pruned_trials,failed_trials,best_trial_number,best_inner_validation_auc,best_inner_validation_brier,best_epoch,best_params_json
tuned_price_only,1,lstm_harmonised_tuned_price_only_fold1_ea940c219a22,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/optuna_studies/tuned_price_only_fold1.sqlite3,24,24,17,7,0,0,0.5453566427919967,0.2488068642696472,13,"{""batch_size"": 512, ""dropout"": 0.30000000000000004, ""l2"": 0.00017981969120649773, ""learning_rate"": 0.00029205853121716985, ""max_epochs"": 35, ""patience"": 5, ""sequence_length"": 64, ""units_1"": 32, ""units_2"": 0, ""use_second_layer"": false}"
tuned_price_only,2,lstm_harmonised_tuned_price_only_fold2_ea940c219a22,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/optuna_studies/tuned_price_only_fold2.sqlite3,24,24,16,8,0,22,0.5388489889480843,0.24892680547075804,9,"{""batch_size"": 1024, ""dropout"": 0.35, ""l2"": 2.220500419801468e-05, ""learning_rate"": 0.00030992035750509577, ""max_epochs"": 35, ""patience"": 5, ""sequence_length"": 32, ""units_1"": 64, ""units_2"": 0, ""use_second_layer"": false}"
tuned_price_only,3,lstm_harmonised_tuned_price_only_fold3_ea940c219a22,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/optuna_studies/tuned_price_only_fold3.sqlite3,24,24,15,9,0,13,0.5292968442532383,0.24944634597374363,6,"{""batch_size"": 512, ""dropout"": 0.4, ""l2"": 0.00032258007239966644, ""learning_rate"": 0.0014448468256446224, ""max_epochs"": 35, ""patience"": 5, ""sequence_length"": 48, ""units_1"": 64, ""units_2"": 0, ""use_second_layer"": false}"
tuned_volume_assisted,1,lstm_harmonised_tuned_volume_assisted_fold1_ea940c219a22,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/optuna_studies/tuned_volume_assisted_fold1.sqlite3,24,24,17,7,0,4,0.5449856901840167,0.24923899719591872,4,"{""batch_size"": 1024, ""dropout"": 0.2, ""l2"": 3.7064888292786476e-06, ""learning_rate"": 0.00045939463482769455, ""max_epochs"": 35, ""patience"": 5, ""sequence_length"": 48, ""units_1"": 64, ""units_2"": 0, ""use_second_layer"": false}"
tuned_volume_assisted,2,lstm_harmonised_tuned_volume_assisted_fold2_ea940c219a22,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/optuna_studies/tuned_volume_assisted_fold2.sqlite3,24,24,21,3,0,12,0.5386461786519894,0.24917158379318405,8,"{""batch_size"": 512, ""dropout"": 0.30000000000000004, ""l2"": 2.1864202473577502e-05, ""learning_rate"": 0.000712197631496716, ""max_epochs"": 35, ""patience"": 5, ""sequence_length"": 32, ""units_1"": 64, ""units_2"": 0, ""use_second_layer"": false}"
tuned_volume_assisted,3,lstm_harmonised_tuned_volume_assisted_fold3_ea940c219a22,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/optuna_studies/tuned_volume_assisted_fold3.sqlite3,24,24,12,12,0,11,0.5269915443974844,0.24992716919407387,2,"{""batch_size"": 512, ""dropout"": 0.2, ""l2"": 0.00023354533331553027, ""learning_rate"": 0.0005671509662026366, ""max_epochs"": 35, ""patience"": 5, ""sequence_length"": 32, ""units_1"": 96, ""units_2"": 0, ""use_second_layer"": false}"
