track,feature_set,mode,cost_bps,mean_net_return,mean_gross_return,mean_sharpe,mean_sortino,mean_max_drawdown,mean_turnover_units,mean_turnover_units_per_day,mean_position_change_events_per_day,mean_trade_count,mean_active_rate,mean_win_rate,mean_profit_factor,positive_fold_rate,folds_x,mean_roc_auc,std_roc_auc,mean_accuracy,mean_balanced_accuracy,mean_f1,mean_brier,mean_baseline_brier,mean_brier_improvement_vs_baseline,mean_log_loss,mean_baseline_log_loss,mean_log_loss_improvement_vs_baseline,folds_y,score_rank_net_return,score_rank_sharpe,score_rank_auc,simple_rank_score
tuned_price_only,price_only,tuned,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5188444937221931,0.005073680770035992,0.5126711094414801,0.5117909061132803,0.5265015131842474,0.25016418509095767,0.25001090656308067,-0.00015327852787701732,0.6934870122807372,0.6931689938104872,-0.00031801847024981456,3,1.0,1.0,3.0,5.0
vanilla_price_only,price_only,vanilla,1.0,-0.0577699150358042,0.027148210993675332,-1.2115739927075075,-1.0599726275357264,-0.10000509155675275,828.6666666666666,2.2970503744741975,1.5976479942546424,414.3333333333333,0.38807327039330614,0.3156120693223661,0.6325865014112898,0.0,3,0.5221271866168137,0.005411632318552493,0.5137638244398656,0.5136572278548704,0.47158702815882414,0.25042196899729513,0.25000900316929825,-0.0004129658279969084,0.6940192854918953,0.6931651870154422,-0.0008540984764532356,3,3.0,3.0,1.0,7.0
vanilla_volume_assisted,volume_assisted,vanilla,1.0,-0.03858643648594118,0.031539157461964305,-0.5719390816410602,-0.6755244326313448,-0.07158694023559364,706.0,1.9583743716015185,1.4156124961526624,353.3333333333333,0.5109565478857855,0.31377324365907394,0.6545355242786857,0.3333333333333333,3,0.5156594623453415,0.003234052536736589,0.5103722718098823,0.5103082287837268,0.4758043115771769,0.25067103528975015,0.25000900316929825,-0.0006620321204519145,0.6945102182052274,0.6931651870154422,-0.0013450311897852396,3,2.0,2.0,4.0,8.0
tuned_volume_assisted,volume_assisted,tuned,1.0,-0.08035342814364366,-0.016807707061636184,-1.417921566715238,-1.2209606256784058,-0.10290114589891108,683.3333333333334,1.8875934776211787,1.5403843617140016,341.6666666666667,0.28928878999724666,0.3080162088856672,0.6253056118281385,0.0,3,0.5192332389715943,0.007697293322565024,0.5131862804535837,0.5131371918744175,0.5088840412087533,0.2504515498619784,0.2500066578939522,-0.00044489196802614356,0.6940749793224876,0.6931604964318948,-0.00091448289059289,3,4.0,4.0,2.0,10.0
