track,feature_set,mode,mean_brier,mean_baseline_brier,mean_brier_improvement_vs_baseline,mean_log_loss,mean_baseline_log_loss,mean_log_loss_improvement_vs_baseline
tuned_price_only,price_only,tuned,0.25016418509095767,0.25001090656308067,-0.00015327852787701732,0.6934870122807372,0.6931689938104872,-0.00031801847024981456
tuned_volume_assisted,volume_assisted,tuned,0.2504515498619784,0.2500066578939522,-0.00044489196802614356,0.6940749793224876,0.6931604964318948,-0.00091448289059289
vanilla_price_only,price_only,vanilla,0.25042196899729513,0.25000900316929825,-0.0004129658279969084,0.6940192854918953,0.6931651870154422,-0.0008540984764532356
vanilla_volume_assisted,volume_assisted,vanilla,0.25067103528975015,0.25000900316929825,-0.0006620321204519145,0.6945102182052274,0.6931651870154422,-0.0013450311897852396
