accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate,epoch,track,fold,mode_label
0.5127412676811218,0.5121870636940002,0.6999258995056152,0.5154445767402649,0.5364730358123779,0.6938316822052002,0.0010000000474974513,1,vanilla_price_only,1,inner_epoch_selection
0.5204033851623535,0.5302543044090271,0.6942079067230225,0.5191062092781067,0.5322977304458618,0.6937350034713745,0.0010000000474974513,2,vanilla_price_only,1,inner_epoch_selection
0.5280654430389404,0.5379725694656372,0.6926083564758301,0.5221105813980103,0.5342043042182922,0.6937621831893921,0.0010000000474974513,3,vanilla_price_only,1,inner_epoch_selection
0.5349118709564209,0.5475378036499023,0.6905919313430786,0.5207961797714233,0.5330644845962524,0.6931270360946655,0.0010000000474974513,4,vanilla_price_only,1,inner_epoch_selection
0.5380261540412903,0.5511655211448669,0.6896384358406067,0.5206083655357361,0.5383828282356262,0.6933894753456116,0.0010000000474974513,5,vanilla_price_only,1,inner_epoch_selection
0.5361971259117126,0.5519018173217773,0.6894733309745789,0.5204206109046936,0.5319198369979858,0.694782018661499,0.0010000000474974513,6,vanilla_price_only,1,inner_epoch_selection
0.5396574139595032,0.5577066540718079,0.6883500814437866,0.5246455669403076,0.5369473099708557,0.6927081942558289,0.0010000000474974513,7,vanilla_price_only,1,inner_epoch_selection
0.5422526597976685,0.5585840344429016,0.6880210638046265,0.5180734395980835,0.5332229733467102,0.6947323083877563,0.0010000000474974513,8,vanilla_price_only,1,inner_epoch_selection
0.5415605902671814,0.5597000122070312,0.6879746317863464,0.5198572874069214,0.532945990562439,0.6939888000488281,0.0010000000474974513,9,vanilla_price_only,1,inner_epoch_selection
0.5431177020072937,0.5635108351707458,0.6870283484458923,0.5179795026779175,0.5275663137435913,0.6959057450294495,0.0010000000474974513,10,vanilla_price_only,1,inner_epoch_selection
0.5471464991569519,0.5683450698852539,0.6858978867530823,0.5179795026779175,0.532451868057251,0.6954445838928223,0.0005000000237487257,11,vanilla_price_only,1,inner_epoch_selection
0.513461172580719,0.5192967057228088,0.6973209381103516,,,,,1,vanilla_price_only,1,final_full_outer_train
0.5257875323295593,0.5362131595611572,0.6929461359977722,,,,,2,vanilla_price_only,1,final_full_outer_train
0.5323224663734436,0.5454620122909546,0.6908137202262878,,,,,3,vanilla_price_only,1,final_full_outer_train
0.5322637557983398,0.5448784232139587,0.6910503506660461,,,,,4,vanilla_price_only,1,final_full_outer_train
0.534435510635376,0.5499858260154724,0.690001368522644,,,,,5,vanilla_price_only,1,final_full_outer_train
0.5131089687347412,0.5206275582313538,0.6967343688011169,0.5275962352752686,0.5296303033828735,0.6935281157493591,0.0010000000474974513,1,vanilla_price_only,2,inner_epoch_selection
0.5272940993309021,0.537206768989563,0.6927729249000549,0.5239651203155518,0.5329582691192627,0.6932615637779236,0.0010000000474974513,2,vanilla_price_only,2,inner_epoch_selection
0.5281158089637756,0.5394328236579895,0.6918879747390747,0.5226942896842957,0.5304983258247375,0.6931158304214478,0.0010000000474974513,3,vanilla_price_only,2,inner_epoch_selection
0.531539797782898,0.546160101890564,0.6904863715171814,0.5252360105514526,0.5319784879684448,0.6933819055557251,0.0010000000474974513,4,vanilla_price_only,2,inner_epoch_selection
0.5349246859550476,0.5503826141357422,0.6897740960121155,0.5272331237792969,0.5325120687484741,0.693732738494873,0.0010000000474974513,5,vanilla_price_only,2,inner_epoch_selection
0.5365095138549805,0.5534384846687317,0.6893907785415649,0.5221496224403381,0.5291679501533508,0.693795919418335,0.0010000000474974513,6,vanilla_price_only,2,inner_epoch_selection
0.5431422591209412,0.561616063117981,0.6877481341362,0.5207879543304443,0.5296645760536194,0.6946893334388733,0.0005000000237487257,7,vanilla_price_only,2,inner_epoch_selection
0.5441009402275085,0.562487781047821,0.68765789270401,0.5226942896842957,0.5301966071128845,0.6945002675056458,0.0005000000237487257,8,vanilla_price_only,2,inner_epoch_selection
0.5103338360786438,0.5138119459152222,0.6998785734176636,,,,,1,vanilla_price_only,2,final_full_outer_train
0.5229211449623108,0.5325799584388733,0.6940779685974121,,,,,2,vanilla_price_only,2,final_full_outer_train
0.5164987444877625,0.5216238498687744,0.6979568004608154,0.5178295969963074,0.5134462118148804,0.6970471739768982,0.0010000000474974513,1,vanilla_price_only,3,inner_epoch_selection
0.5259472727775574,0.5352818965911865,0.6931030750274658,0.5170129537582397,0.5234348773956299,0.6954444646835327,0.0010000000474974513,2,vanilla_price_only,3,inner_epoch_selection
0.5296333432197571,0.5416114926338196,0.6917920708656311,0.5173759460449219,0.5216795802116394,0.6958261728286743,0.0010000000474974513,3,vanilla_price_only,3,inner_epoch_selection
0.5301322937011719,0.5429412126541138,0.6914191246032715,0.5135650038719177,0.5211037993431091,0.694909930229187,0.0010000000474974513,4,vanilla_price_only,3,inner_epoch_selection
0.5351221561431885,0.5498425364494324,0.6900079846382141,0.5212775468826294,0.5250124931335449,0.6944710612297058,0.0010000000474974513,5,vanilla_price_only,3,inner_epoch_selection
0.5353475213050842,0.5498471856117249,0.6898918747901917,0.5152890086174011,0.5228402018547058,0.6948897838592529,0.0010000000474974513,6,vanilla_price_only,3,inner_epoch_selection
0.5381643772125244,0.5541451573371887,0.6890467405319214,0.5120224952697754,0.5183500051498413,0.6959056258201599,0.0010000000474974513,7,vanilla_price_only,3,inner_epoch_selection
