model_family,feature_set,fold,inner_train_rows,inner_validation_rows,outer_train_rows,outer_validation_rows,test_rows,inner_validation_start,outer_train_end,outer_validation_start,outer_validation_end,test_start,test_end,feature_count
lstm,price_only,1,91668,23327,114995,23314,23290,2020-01-01 00:00:00+00:00,2020-12-31 21:45:00+00:00,2021-01-03 23:15:00+00:00,2021-12-31 21:45:00+00:00,2022-01-02 23:15:00+00:00,2022-12-30 21:30:00+00:00,50
lstm,price_only,2,114995,23314,138309,23290,22985,2021-01-01 00:00:00+00:00,2021-12-31 21:45:00+00:00,2022-01-02 23:15:00+00:00,2022-12-30 21:30:00+00:00,2023-01-02 23:30:00+00:00,2023-12-29 21:30:00+00:00,50
lstm,price_only,3,138309,23290,161599,22985,23382,2022-01-01 00:00:00+00:00,2022-12-30 21:30:00+00:00,2023-01-02 23:30:00+00:00,2023-12-29 21:30:00+00:00,2024-01-01 23:15:00+00:00,2024-12-31 21:30:00+00:00,50
lstm,volume_assisted,1,91668,23327,114995,23314,23290,2020-01-01 00:00:00+00:00,2020-12-31 21:45:00+00:00,2021-01-03 23:15:00+00:00,2021-12-31 21:45:00+00:00,2022-01-02 23:15:00+00:00,2022-12-30 21:30:00+00:00,51
lstm,volume_assisted,2,114995,23314,138309,23290,22985,2021-01-01 00:00:00+00:00,2021-12-31 21:45:00+00:00,2022-01-02 23:15:00+00:00,2022-12-30 21:30:00+00:00,2023-01-02 23:30:00+00:00,2023-12-29 21:30:00+00:00,51
lstm,volume_assisted,3,138309,23290,161599,22985,23382,2022-01-01 00:00:00+00:00,2022-12-30 21:30:00+00:00,2023-01-02 23:30:00+00:00,2023-12-29 21:30:00+00:00,2024-01-01 23:15:00+00:00,2024-12-31 21:30:00+00:00,51
