track,feature_set,mode,mean_brier,mean_baseline_brier,mean_brier_improvement_vs_baseline,mean_log_loss,mean_baseline_log_loss,mean_log_loss_improvement_vs_baseline
tuned_price_only,price_only,tuned,0.25003224105637717,0.25000634444250347,-2.5896613873666676e-05,0.6932269691119745,0.6931598695465956,-6.709956537903324e-05
tuned_volume_assisted,volume_assisted,tuned,0.24997496481266138,0.25000634444250347,3.137962984208031e-05,0.693105943872482,0.6931598695465956,5.3925674113458654e-05
vanilla_price_only,price_only,vanilla,0.24991855147499178,0.25000634444250347,8.779296751163631e-05,0.6929905369577086,0.6931598695465956,0.00016933258888685197
vanilla_volume_assisted,volume_assisted,vanilla,0.25005356651114286,0.25000634444250347,-4.7222068639394634e-05,0.6932638075811651,0.6931598695465956,-0.00010393803456960741
