track,feature_set,mode,feature,mean_gain_importance,mean_split_importance,mean_gain_share,std_gain_share,rank_by_mean_gain
tuned_price_only,price_only,tuned,close_sma_5_ratio,3198.9959972699485,130.66666666666666,0.05468060251715994,0.040010411439116655,1.0
tuned_price_only,price_only,tuned,close_ema_5_ratio,2724.636355082194,117.0,0.047747747562423094,0.035647249952262816,2.0
tuned_price_only,price_only,tuned,minute_of_day_cos,2599.8983911673226,258.6666666666667,0.041023707799892534,0.003642859108855103,3.0
tuned_price_only,price_only,tuned,close_position_in_bar,2587.1067877610526,215.66666666666666,0.04244239197762623,0.013836396238224809,4.0
tuned_price_only,price_only,tuned,minute_of_day_sin,2207.3634198506675,219.33333333333334,0.0344226755547937,0.0019545816581012817,5.0
tuned_price_only,price_only,tuned,upper_wick_pct,1900.6168333689373,191.66666666666666,0.029826578520583333,0.001840013496553511,6.0
tuned_price_only,price_only,tuned,roc_5,1709.9314546585083,170.33333333333334,0.027414163610267033,0.004739227468375434,7.0
tuned_price_only,price_only,tuned,lower_wick_pct,1668.427535057068,176.0,0.025276638484834302,0.004523447603565352,8.0
tuned_price_only,price_only,tuned,log_ret_2,1650.763976097107,150.66666666666666,0.026049946109958335,0.005424236512685931,9.0
tuned_price_only,price_only,tuned,rolling_vol_200,1592.2512062390645,171.66666666666666,0.02390618449175533,0.006872949312076064,10.0
tuned_price_only,price_only,tuned,log_ret_3,1573.8025855223339,143.66666666666666,0.0248053431676831,0.0013413993729439423,11.0
tuned_price_only,price_only,tuned,rolling_vol_50,1486.1625406742096,161.66666666666666,0.0227159092962886,0.003766701581787728,12.0
tuned_price_only,price_only,tuned,log_ret_48,1481.4872265656788,159.33333333333334,0.022195379917369234,0.004638934512212725,13.0
tuned_price_only,price_only,tuned,rolling_vol_5,1462.4475928942363,159.33333333333334,0.022300937464906866,0.005501262826415627,14.0
tuned_price_only,price_only,tuned,roc_10,1440.0829655329387,148.33333333333334,0.0222472223948162,0.0016416608494167156,15.0
tuned_price_only,price_only,tuned,rolling_vol_100,1440.0089581807454,157.66666666666666,0.021139339844084466,0.007478858648899618,16.0
tuned_price_only,price_only,tuned,open_rel_prev_close,1414.273707787196,156.0,0.0210707377086649,0.005722337670155386,17.0
tuned_price_only,price_only,tuned,high_rel_prev_close,1382.7017154693604,149.0,0.021393642027106866,0.004919907167202786,18.0
tuned_price_only,price_only,tuned,log_ret_6,1362.5431639353435,138.66666666666666,0.0211142137470275,0.0018146778179915037,19.0
tuned_price_only,price_only,tuned,log_ret_24,1341.58451739947,143.33333333333334,0.020139613787227534,0.004365517643555878,20.0
tuned_volume_assisted,volume_assisted,tuned,close_sma_5_ratio,1886.198062102,68.66666666666667,0.06506132944122013,0.048003227527786144,1.0
tuned_volume_assisted,volume_assisted,tuned,close_ema_5_ratio,1678.01171652476,63.0,0.056810113464807965,0.031888235652837556,2.0
