track,feature_set,mode,cost_bps,mean_net_return,mean_gross_return,mean_sharpe,mean_sortino,mean_max_drawdown,mean_turnover_units,mean_turnover_units_per_day,mean_position_change_events_per_day,mean_trade_count,mean_active_rate,mean_win_rate,mean_profit_factor,positive_fold_rate,folds_x,mean_roc_auc,std_roc_auc,mean_accuracy,mean_balanced_accuracy,mean_f1,mean_brier,mean_baseline_brier,mean_brier_improvement_vs_baseline,mean_log_loss,mean_baseline_log_loss,mean_log_loss_improvement_vs_baseline,folds_y,selected_trade_rate,all_stay_flat,score_rank_net_return,score_rank_sharpe,score_rank_auc,simple_rank_score
tuned_volume_assisted,volume_assisted,tuned,1.0,-0.06169456200761456,0.013240683431014507,-0.7564533947105527,-0.5915640032289793,-0.0931166572097769,778.6666666666666,2.147945775369598,1.8236811664789503,389.3333333333333,0.21996988750091095,0.30754487145082304,0.6413239422847018,0.0,3,0.5217292604491732,0.002923121383398206,0.5151476902908239,0.5153353376989052,0.5036749970964636,0.24997496481266138,0.25000634444250347,3.137962984208031e-05,0.693105943872482,0.6931598695465956,5.3925674113458654e-05,3,0.6666666666666666,False,1.0,1.0,3.0,5.0
tuned_price_only,price_only,tuned,1.0,-0.07256274150140647,-0.0005328924204248039,-1.2453657445587176,-0.5561834811494557,-0.13340591206873734,704.6666666666666,1.9507579677939788,1.3819276035342518,352.3333333333333,0.38174158918862533,0.48128039609599144,0.9356358451598173,0.3333333333333333,3,0.5218455261008995,0.004494842918049972,0.5148826335155282,0.5149740356860036,0.500074335481733,0.25003224105637717,0.25000634444250347,-2.5896613873666676e-05,0.6932269691119745,0.6931598695465956,-6.709956537903324e-05,3,1.0,False,2.0,3.0,1.0,6.0
vanilla_volume_assisted,volume_assisted,vanilla,1.0,-0.08220659237233092,-0.033887832312407835,-1.0008238729643262,-0.7832164227704504,-0.10014713199503944,522.0,1.4421935405314905,1.0555843048917841,261.0,0.3225022943926179,0.32256530393921895,0.6338984355359264,0.0,3,0.5203352410880177,0.0018772568267103659,0.5118524706423524,0.5121518473516599,0.5023286132752474,0.25005356651114286,0.25000634444250347,-4.7222068639394634e-05,0.6932638075811651,0.6931598695465956,-0.00010393803456960741,3,0.6666666666666666,False,3.0,2.0,4.0,9.0
vanilla_price_only,price_only,vanilla,1.0,-0.09549586927938503,-0.012038117885465731,-1.3795792223577752,-0.8824954532185588,-0.1357120040874872,865.6666666666666,2.395414424500297,1.7833078817150838,433.0,0.3931148467030738,0.47399758797621744,0.9471300775070924,0.0,3,0.5217883985706274,0.004264264495224133,0.5131803340007575,0.5134766321471887,0.49899837166303307,0.24991855147499178,0.25000634444250347,8.779296751163631e-05,0.6929905369577086,0.6931598695465956,0.00016933258888685197,3,1.0,False,4.0,4.0,2.0,10.0
