model_family,track,feature_set,mode,fold,feature,gain_importance,split_importance,gain_share
lightgbm,vanilla_price_only,price_only,vanilla,1,bb_position_20,593.8397674560547,59.0,0.0158677684099142
lightgbm,vanilla_price_only,price_only,vanilla,2,minute_of_day_sin,2559.9454429149628,212.0,0.039047920051116
lightgbm,vanilla_price_only,price_only,vanilla,2,minute_of_day_cos,2805.546820163727,248.0,0.0427941807262394
lightgbm,vanilla_price_only,price_only,vanilla,2,day_of_week_sin,371.8832116127014,43.0,0.0056724903866974
lightgbm,vanilla_price_only,price_only,vanilla,2,day_of_week_cos,313.27699089050293,34.0,0.0047785451553284
lightgbm,vanilla_price_only,price_only,vanilla,2,month_sin,664.911595582962,71.0,0.0101421750597229
lightgbm,vanilla_price_only,price_only,vanilla,2,month_cos,930.2254710197448,84.0,0.0141891187261123
lightgbm,vanilla_price_only,price_only,vanilla,2,is_after_gap,33.867159843444824,4.0,0.0005165899740501
lightgbm,vanilla_price_only,price_only,vanilla,2,gap_minutes_from_prev_bar,52.9443793296814,8.0,0.000807582793197
lightgbm,vanilla_price_only,price_only,vanilla,2,open_rel_prev_close,1289.8461184501648,136.0,0.0196745630852717
lightgbm,vanilla_price_only,price_only,vanilla,2,high_rel_prev_close,1150.604069232941,120.0,0.01755064578827
lightgbm,vanilla_price_only,price_only,vanilla,2,low_rel_prev_close,1417.8212995529177,146.0,0.021626622123896
lightgbm,vanilla_price_only,price_only,vanilla,2,close_rel_prev_close,1101.2334938049316,103.0,0.0167975757228411
lightgbm,vanilla_price_only,price_only,vanilla,2,log_ret_1,261.0076398849488,26.0,0.0039812588518889
lightgbm,vanilla_price_only,price_only,vanilla,2,log_ret_2,2102.906608581543,176.0,0.0320765152843858
lightgbm,vanilla_price_only,price_only,vanilla,2,log_ret_3,1708.805905342102,150.0,0.0260651321923073
lightgbm,vanilla_price_only,price_only,vanilla,2,log_ret_6,1057.3837628364563,112.0,0.0161287174103099
lightgbm,vanilla_price_only,price_only,vanilla,2,log_ret_12,1210.644052028656,122.0,0.0184664607930648
lightgbm,vanilla_price_only,price_only,vanilla,2,log_ret_24,966.291229724884,102.0,0.0147392448494634
lightgbm,vanilla_price_only,price_only,vanilla,2,log_ret_48,1435.4471173286438,145.0,0.0218954761048459
lightgbm,vanilla_price_only,price_only,vanilla,2,open_to_close_pct,761.0235104560852,73.0,0.0116082103529016
lightgbm,vanilla_price_only,price_only,vanilla,2,high_low_range_pct,997.2875421047212,106.0,0.0152120445847223
lightgbm,vanilla_price_only,price_only,vanilla,2,upper_wick_pct,1553.2313261032104,152.0,0.0236920879741505
lightgbm,vanilla_price_only,price_only,vanilla,2,lower_wick_pct,1808.1461210250848,181.0,0.0275804101098839
lightgbm,vanilla_price_only,price_only,vanilla,2,close_position_in_bar,2765.613025188446,218.0,0.0421850538255673
lightgbm,vanilla_price_only,price_only,vanilla,2,close_sma_5_ratio,3352.3098521232605,122.0,0.0511341862595412
lightgbm,vanilla_price_only,price_only,vanilla,2,close_ema_5_ratio,2688.840317726136,90.0,0.0410140075630804
lightgbm,vanilla_price_only,price_only,vanilla,2,rolling_vol_5,1411.851655960083,145.0,0.0215355646498425
lightgbm,vanilla_price_only,price_only,vanilla,2,close_sma_10_ratio,1328.625352859497,119.0,0.020266078990054
lightgbm,vanilla_price_only,price_only,vanilla,2,close_ema_10_ratio,827.4545912742615,71.0,0.0126215114526874
lightgbm,vanilla_price_only,price_only,vanilla,2,rolling_vol_10,1242.7626612186432,133.0,0.0189563793916329
lightgbm,vanilla_price_only,price_only,vanilla,2,close_sma_20_ratio,709.1547923088074,69.0,0.0108170350702508
lightgbm,vanilla_price_only,price_only,vanilla,2,close_ema_20_ratio,1164.2009801864624,109.0,0.0177580451659891
lightgbm,vanilla_price_only,price_only,vanilla,2,rolling_vol_20,1014.9981861114502,108.0,0.0154821924557023
