track,feature_set,mode,feature,mean_gain_importance,mean_split_importance,mean_gain_share,std_gain_share,rank_by_mean_gain
tuned_price_only,price_only,tuned,atr_pct_14,1169.2481106122334,128.0,0.01781375623213857,0.0035856555516271386,29.0
tuned_price_only,price_only,tuned,bb_position_20,1025.4065612157185,111.66666666666667,0.015265805356183701,0.004825351610258528,37.0
tuned_price_only,price_only,tuned,bb_width_pct_20,1332.9922630786893,144.0,0.0203622641294001,0.003764735562401059,22.0
tuned_price_only,price_only,tuned,close_ema_100_ratio,1045.967942873637,108.66666666666667,0.016292523541745135,0.0030393763715168744,35.0
tuned_price_only,price_only,tuned,close_ema_10_ratio,854.9252673784891,74.33333333333333,0.013278235372335032,0.0007206446342910154,42.0
tuned_price_only,price_only,tuned,close_ema_200_ratio,1255.7300073305767,131.33333333333334,0.019054425582328033,0.0028377984505681612,26.0
tuned_price_only,price_only,tuned,close_ema_20_ratio,885.1822391351064,90.0,0.0136440000618432,0.0024330693624703527,40.0
tuned_price_only,price_only,tuned,close_ema_50_ratio,860.2286003430685,91.0,0.013034099875739535,0.0037401575640355652,41.0
tuned_price_only,price_only,tuned,close_ema_5_ratio,2724.636355082194,117.0,0.047747747562423094,0.035647249952262816,2.0
tuned_price_only,price_only,tuned,close_position_in_bar,2587.1067877610526,215.66666666666666,0.04244239197762623,0.013836396238224809,4.0
tuned_price_only,price_only,tuned,close_rel_prev_close,1050.2878170808156,102.0,0.016709855051555034,0.0031596090692042004,34.0
tuned_price_only,price_only,tuned,close_sma_100_ratio,1085.0120307604473,116.0,0.0164312170116593,0.0026968603053660195,33.0
tuned_price_only,price_only,tuned,close_sma_10_ratio,1252.6166688601177,108.66666666666667,0.01976022251943167,0.0022991277516266366,27.0
tuned_price_only,price_only,tuned,close_sma_200_ratio,1332.9969592094421,139.33333333333334,0.0210676240867269,0.002411168070969101,21.0
tuned_price_only,price_only,tuned,close_sma_20_ratio,633.1274491945902,65.0,0.009543186219445268,0.004307343814409725,44.0
tuned_price_only,price_only,tuned,close_sma_50_ratio,1026.416220108668,108.0,0.016026369355876965,0.00217739750111151,36.0
tuned_price_only,price_only,tuned,close_sma_5_ratio,3198.9959972699485,130.66666666666666,0.05468060251715994,0.040010411439116655,1.0
tuned_price_only,price_only,tuned,day_of_week_cos,308.1213728586833,35.0,0.0048401707105733,0.0018397519855121163,47.0
tuned_price_only,price_only,tuned,day_of_week_sin,513.4329546292623,54.666666666666664,0.008024628683756033,0.0012048012916277679,46.0
tuned_price_only,price_only,tuned,gap_minutes_from_prev_bar,59.4346698919932,6.0,0.0009983306820367333,0.0005488783297315549,49.0
tuned_price_only,price_only,tuned,high_low_range_pct,1133.8066192468007,120.33333333333333,0.0175132030266345,0.0018849562880771536,32.0
tuned_price_only,price_only,tuned,high_rel_prev_close,1382.7017154693604,149.0,0.021393642027106866,0.004919907167202786,18.0
tuned_price_only,price_only,tuned,is_after_gap,32.45673338572184,3.3333333333333335,0.0005399165472214,0.0003455698161605779,50.0
tuned_price_only,price_only,tuned,log_ret_1,268.2571873664856,30.333333333333332,0.0045219104821613,0.005934309506532961,48.0
tuned_price_only,price_only,tuned,log_ret_12,1313.1392726103466,138.33333333333334,0.019402125161041336,0.005628544267941517,23.0
tuned_price_only,price_only,tuned,log_ret_2,1650.763976097107,150.66666666666666,0.026049946109958335,0.005424236512685931,9.0
tuned_price_only,price_only,tuned,log_ret_24,1341.58451739947,143.33333333333334,0.020139613787227534,0.004365517643555878,20.0
tuned_price_only,price_only,tuned,log_ret_3,1573.8025855223339,143.66666666666666,0.0248053431676831,0.0013413993729439423,11.0
tuned_price_only,price_only,tuned,log_ret_48,1481.4872265656788,159.33333333333334,0.022195379917369234,0.004638934512212725,13.0
tuned_price_only,price_only,tuned,log_ret_6,1362.5431639353435,138.66666666666666,0.0211142137470275,0.0018146778179915037,19.0
tuned_price_only,price_only,tuned,low_rel_prev_close,1264.5873714288075,135.33333333333334,0.018937131448641165,0.003983090431281219,25.0
tuned_price_only,price_only,tuned,lower_wick_pct,1668.427535057068,176.0,0.025276638484834302,0.004523447603565352,8.0
tuned_price_only,price_only,tuned,minute_of_day_cos,2599.8983911673226,258.6666666666667,0.041023707799892534,0.003642859108855103,3.0
tuned_price_only,price_only,tuned,minute_of_day_sin,2207.3634198506675,219.33333333333334,0.0344226755547937,0.0019545816581012817,5.0
tuned_price_only,price_only,tuned,month_cos,738.6637427012125,77.33333333333333,0.011467813810323699,0.0003657273933168722,43.0
tuned_price_only,price_only,tuned,month_sin,628.2557301521301,71.33333333333333,0.009709703128520366,0.0013140161175573851,45.0
tuned_price_only,price_only,tuned,open_rel_prev_close,1414.273707787196,156.0,0.0210707377086649,0.005722337670155386,17.0
tuned_price_only,price_only,tuned,open_to_close_pct,948.727587223053,94.66666666666667,0.014982370666599068,0.000878312382670729,39.0
tuned_price_only,price_only,tuned,roc_10,1440.0829655329387,148.33333333333334,0.0222472223948162,0.0016416608494167156,15.0
