bar_count,timeframe,month,median_monthly_bar_count_for_timeframe,bar_count_relative_to_median_pct
6063,M5,2022-05-01 00:00:00+00:00,5886.0,103.00713557594293
6041,M5,2022-06-01 00:00:00+00:00,5886.0,102.6333673122664
5763,M5,2022-07-01 00:00:00+00:00,5886.0,97.91029561671763
6342,M5,2022-08-01 00:00:00+00:00,5886.0,107.74719673802242
6017,M5,2022-09-01 00:00:00+00:00,5886.0,102.22562011552839
5809,M5,2022-10-01 00:00:00+00:00,5886.0,98.69181107713217
5971,M5,2022-11-01 00:00:00+00:00,5886.0,101.44410465511382
5771,M5,2022-12-01 00:00:00+00:00,5886.0,98.04621134896364
5755,M5,2023-01-01 00:00:00+00:00,5886.0,97.77437988447163
5483,M5,2023-02-01 00:00:00+00:00,5886.0,93.15324498810737
6330,M5,2023-03-01 00:00:00+00:00,5886.0,107.54332313965342
5259,M5,2023-04-01 00:00:00+00:00,5886.0,89.34760448521916
6312,M5,2023-05-01 00:00:00+00:00,5886.0,107.2375127420999
6004,M5,2023-06-01 00:00:00+00:00,5886.0,102.00475705062861
5762,M5,2023-07-01 00:00:00+00:00,5886.0,97.89330615018689
6290,M5,2023-08-01 00:00:00+00:00,5886.0,106.86374447842337
5694,M5,2023-09-01 00:00:00+00:00,5886.0,96.73802242609581
6081,M5,2023-10-01 00:00:00+00:00,5886.0,103.31294597349643
5956,M5,2023-11-01 00:00:00+00:00,5886.0,101.18926265715255
5503,M5,2023-12-01 00:00:00+00:00,5886.0,93.4930343187224
6052,M5,2024-01-01 00:00:00+00:00,5886.0,102.82025144410466
5752,M5,2024-02-01 00:00:00+00:00,5886.0,97.72341148487938
5522,M5,2024-03-01 00:00:00+00:00,5886.0,93.81583418280665
6071,M5,2024-04-01 00:00:00+00:00,5886.0,103.14305130818893
6288,M5,2024-05-01 00:00:00+00:00,5886.0,106.82976554536188
5511,M5,2024-06-01 00:00:00+00:00,5886.0,93.6289500509684
6315,M5,2024-07-01 00:00:00+00:00,5886.0,107.28848114169216
6048,M5,2024-08-01 00:00:00+00:00,5886.0,102.75229357798166
5785,M5,2024-09-01 00:00:00+00:00,5886.0,98.28406388039416
6330,M5,2024-10-01 00:00:00+00:00,5886.0,107.54332313965342
5712,M5,2024-11-01 00:00:00+00:00,5886.0,97.04383282364934
5746,M5,2024-12-01 00:00:00+00:00,5886.0,97.62147468569486
6037,M5,2025-01-01 00:00:00+00:00,5886.0,102.56540944614339
5485,M5,2025-02-01 00:00:00+00:00,5886.0,93.18722392116887
5816,M5,2025-03-01 00:00:00+00:00,5886.0,98.81073734284743
5786,M5,2025-04-01 00:00:00+00:00,5886.0,98.3010533469249
6016,M5,2025-05-01 00:00:00+00:00,5886.0,102.20863064899761
5789,M5,2025-06-01 00:00:00+00:00,5886.0,98.35202174651715
6299,M5,2025-07-01 00:00:00+00:00,5886.0,107.01664967720012
5793,M5,2025-08-01 00:00:00+00:00,5886.0,98.41997961264016
6041,M5,2025-09-01 00:00:00+00:00,5886.0,102.6333673122664
6324,M5,2025-10-01 00:00:00+00:00,5886.0,107.44138634046891
5465,M5,2025-11-01 00:00:00+00:00,5886.0,92.84743459055386
