timeframe,feature,reference_years,comparison_year,year_rows,is_partial_final_year,used_in_drift_score,psi
M5,rsi_14,2016-2018,2022,70571,False,True,0.0014904126527900284
M5,rsi_14,2016-2018,2023,70003,False,True,0.0010655215646818506
M5,rsi_14,2016-2018,2024,70829,False,True,0.004200595277117394
M5,rsi_14,2016-2018,2025,70583,False,True,0.012480000430296252
M5,rsi_14,2016-2018,2026,17273,True,False,0.00935941176885365
M5,atr_pct_14,2016-2018,2019,69237,False,True,0.07638447076638123
M5,atr_pct_14,2016-2018,2020,70707,False,True,0.6976746893346892
M5,atr_pct_14,2016-2018,2021,70558,False,True,0.0916059150251584
M5,atr_pct_14,2016-2018,2022,70571,False,True,0.25162002977861897
M5,atr_pct_14,2016-2018,2023,70003,False,True,0.010639891040690358
M5,atr_pct_14,2016-2018,2024,70829,False,True,0.13184625439389536
M5,atr_pct_14,2016-2018,2025,70583,False,True,0.8671093958263827
M5,atr_pct_14,2016-2018,2026,17273,True,False,5.02311399567671
M5,bb_width_pct_20,2016-2018,2019,69237,False,True,0.01563228250767953
M5,bb_width_pct_20,2016-2018,2020,70707,False,True,0.37429168297096416
M5,bb_width_pct_20,2016-2018,2021,70558,False,True,0.05172597396118117
M5,bb_width_pct_20,2016-2018,2022,70571,False,True,0.153453178497944
M5,bb_width_pct_20,2016-2018,2023,70003,False,True,0.004941632307617359
M5,bb_width_pct_20,2016-2018,2024,70829,False,True,0.07155866202167571
M5,bb_width_pct_20,2016-2018,2025,70583,False,True,0.4999353085507867
M5,bb_width_pct_20,2016-2018,2026,17273,True,False,2.731388152106615
M5,bb_position_20,2016-2018,2019,69237,False,True,0.000554139724313264
M5,bb_position_20,2016-2018,2020,70707,False,True,0.0031629281153645115
M5,bb_position_20,2016-2018,2021,70558,False,True,0.0005182372684520383
M5,bb_position_20,2016-2018,2022,70571,False,True,0.0033989950728518423
M5,bb_position_20,2016-2018,2023,70003,False,True,0.0012687101919743318
M5,bb_position_20,2016-2018,2024,70829,False,True,0.004523463469767373
M5,bb_position_20,2016-2018,2025,70583,False,True,0.007634739619338946
M5,bb_position_20,2016-2018,2026,17273,True,False,0.0063995653378361205
M5,minute_of_day_sin,2016-2018,2019,69237,False,True,0.00017444920427842837
M5,minute_of_day_sin,2016-2018,2020,70707,False,True,6.354803826411505e-06
M5,minute_of_day_sin,2016-2018,2021,70558,False,True,8.576704238797183e-06
M5,minute_of_day_sin,2016-2018,2022,70571,False,True,8.546071322347113e-06
M5,minute_of_day_sin,2016-2018,2023,70003,False,True,3.4700235462987795e-05
M5,minute_of_day_sin,2016-2018,2024,70829,False,True,1.557603646774935e-05
M5,minute_of_day_sin,2016-2018,2025,70583,False,True,1.272557321915353e-05
M5,minute_of_day_sin,2016-2018,2026,17273,True,False,0.003243976745441708
M5,day_of_week_sin,2016-2018,2019,69237,False,True,0.00016749344422587945
