timeframe,one_way_cost_bps,mean_abs_return_bps,median_abs_return_bps,p75_abs_return_bps,p90_abs_return_bps,share_abs_return_gt_one_way_cost,mean_abs_return_to_one_way_cost
M5,0.0,3.624222850524283,2.3274077137744644,4.587838517381959,8.000279499491624,1.0,inf
M5,0.5,3.624222850524283,2.3274077137744644,4.587838517381959,8.000279499491624,0.8758845808485037,7.248445701048566
M5,1.0,3.624222850524283,2.3274077137744644,4.587838517381959,8.000279499491624,0.7499413633404992,3.624222850524283
M5,2.0,3.624222850524283,2.3274077137744644,4.587838517381959,8.000279499491624,0.5538867431186931,1.8121114252621415
M5,3.0,3.624222850524283,2.3274077137744644,4.587838517381959,8.000279499491624,0.40475116544697787,1.2080742835080944
M5,5.0,3.624222850524283,2.3274077137744644,4.587838517381959,8.000279499491624,0.2214175776744909,0.7248445701048566
M15,0.0,6.248667713345729,4.001749271619822,7.854808671411234,13.717850943074502,1.0,inf
M15,0.5,6.248667713345729,4.001749271619822,7.854808671411234,13.717850943074502,0.9284391205100401,12.497335426691459
M15,1.0,6.248667713345729,4.001749271619822,7.854808671411234,13.717850943074502,0.8550639026839549,6.248667713345729
M15,2.0,6.248667713345729,4.001749271619822,7.854808671411234,13.717850943074502,0.721296534613778,3.1243338566728647
M15,3.0,6.248667713345729,4.001749271619822,7.854808671411234,13.717850943074502,0.6022801591554466,2.08288923778191
M15,5.0,6.248667713345729,4.001749271619822,7.854808671411234,13.717850943074502,0.4159349538609542,1.2497335426691458
