timeframe,rows,target_flip_rate_per_bar,approx_direction_flips_per_24h_if_always_in_market,bars_per_24h,minimum_hold_bars_planned,minimum_hold_minutes_planned,max_position_changes_per_day_planned
M5,720539,0.5151976506476401,148.37692338652036,288,2,10,5
M15,237001,0.5165843182096278,49.592094548124265,96,2,30,5
