mean,std,timeframe,month
0.019981861054719215,1.0934027415674723,M5,2016-01-01 00:00:00+00:00
0.020909723977564843,1.1099446802222868,M5,2016-02-01 00:00:00+00:00
0.019277352794417862,1.1223796441186629,M5,2016-03-01 00:00:00+00:00
0.03785349390153249,1.1126624319812528,M5,2016-04-01 00:00:00+00:00
0.0277024872059368,1.1023508810788416,M5,2016-05-01 00:00:00+00:00
0.025126460701663744,1.1119644593841655,M5,2016-06-01 00:00:00+00:00
0.010611052188732263,1.1188643148737794,M5,2016-07-01 00:00:00+00:00
0.0021224017100944627,1.120719438351094,M5,2016-08-01 00:00:00+00:00
0.023472560070617227,1.1253296655686633,M5,2016-09-01 00:00:00+00:00
0.03813094772839409,1.1209955955224702,M5,2016-10-01 00:00:00+00:00
0.03563078004342295,1.1020789403121778,M5,2016-11-01 00:00:00+00:00
0.018062499598113083,1.1149591931842273,M5,2016-12-01 00:00:00+00:00
0.01616029546328335,1.1347390715029244,M5,2017-01-01 00:00:00+00:00
0.002860478811630685,1.1373190789423577,M5,2017-02-01 00:00:00+00:00
0.044932910071290175,1.1336891889160854,M5,2017-03-01 00:00:00+00:00
0.03830860732018878,1.129176180841595,M5,2017-04-01 00:00:00+00:00
0.027546999610042675,1.1226367140746976,M5,2017-05-01 00:00:00+00:00
0.04038409512622911,1.1208528966183218,M5,2017-06-01 00:00:00+00:00
0.005406119455971084,1.113514526385935,M5,2017-07-01 00:00:00+00:00
-0.005206197056638229,1.126968469056894,M5,2017-08-01 00:00:00+00:00
0.01216978381046737,1.1273389578837123,M5,2017-09-01 00:00:00+00:00
0.018615202967880027,1.1283737962309297,M5,2017-10-01 00:00:00+00:00
0.000605148479012435,1.1294695820637952,M5,2017-11-01 00:00:00+00:00
0.016510571085415336,1.1067873296978414,M5,2017-12-01 00:00:00+00:00
-0.0023314515317538168,1.104918193094931,M5,2018-01-01 00:00:00+00:00
0.031794156844046455,1.1240234904269841,M5,2018-02-01 00:00:00+00:00
0.005035492120681305,1.106431799030196,M5,2018-03-01 00:00:00+00:00
0.009147917089811462,1.0987639935000864,M5,2018-04-01 00:00:00+00:00
0.005767294881642055,1.11465885845876,M5,2018-05-01 00:00:00+00:00
0.01584430327342392,1.0987197243540194,M5,2018-06-01 00:00:00+00:00
0.014358567733294504,1.1221057449261438,M5,2018-07-01 00:00:00+00:00
0.0018725129316555418,1.1152047218242496,M5,2018-08-01 00:00:00+00:00
0.010231329920366673,1.1080420744936335,M5,2018-09-01 00:00:00+00:00
0.03134026433960369,1.1193574792354806,M5,2018-10-01 00:00:00+00:00
0.03175916523813202,1.1109964008368738,M5,2018-11-01 00:00:00+00:00
0.05389069555326078,1.1044957135649214,M5,2018-12-01 00:00:00+00:00
0.03592891029695144,1.107389875263208,M5,2019-01-01 00:00:00+00:00
0.04748151555514329,1.1007825281970232,M5,2019-02-01 00:00:00+00:00
0.0667184989279685,1.1394824131783583,M5,2019-03-01 00:00:00+00:00
0.028999292834118593,1.1153767001334665,M5,2019-04-01 00:00:00+00:00
0.06682275715455535,1.129116030749971,M5,2019-05-01 00:00:00+00:00
0.03191439939179589,1.1521935545077624,M5,2019-06-01 00:00:00+00:00
0.008784420884349213,1.1205337734829337,M5,2019-07-01 00:00:00+00:00
0.016533229031192167,1.1289344379069508,M5,2019-08-01 00:00:00+00:00
0.017414739345151236,1.1484580707417127,M5,2019-09-01 00:00:00+00:00
0.045019880672147385,1.1572744021074217,M5,2019-10-01 00:00:00+00:00
0.020011459538352514,1.1501548090628158,M5,2019-11-01 00:00:00+00:00
0.02107123677482551,1.1399934631596058,M5,2019-12-01 00:00:00+00:00
