timeframe,count,mean,std,p01,p05,p50,p95,p99,abs_gt_3_rate,abs_gt_5_rate
M5,720539,0.016460825730352797,1.1255715664078796,-1.9200838415338397,-1.4751336929196024,-0.1968697111296336,2.180592853337989,3.186361985741565,0.014231013172083676,0.0
M15,237001,0.05926436921691626,1.1608123994317694,-1.9503084852772086,-1.48394601308696,-0.14239179298223187,2.2425386205086206,3.147856452366415,0.013966185796684401,0.0
