rows,up_rate,mean_abs_return_bps,std_return_bps,timeframe,month
5263,0.5035151054531636,3.670027298634889,5.245234117950279,M5,2016-01-01 00:00:00+00:00
5727,0.5070717653221583,5.104673586683214,7.499329368505444,M5,2016-02-01 00:00:00+00:00
6062,0.5036291652919829,4.372256382312013,6.71821168436505,M5,2016-03-01 00:00:00+00:00
5750,0.5005217391304347,3.91042710620728,5.7466554537247605,M5,2016-04-01 00:00:00+00:00
6020,0.48737541528239203,3.702596627506608,5.406400269349094,M5,2016-05-01 00:00:00+00:00
6046,0.4963612305656632,4.178330350582627,7.250917031350097,M5,2016-06-01 00:00:00+00:00
5725,0.49746724890829697,3.7919516537195834,5.661911194080661,M5,2016-07-01 00:00:00+00:00
6323,0.4997627708366282,2.828311332893916,4.51948309854694,M5,2016-08-01 00:00:00+00:00
5976,0.48895582329317266,2.5734039885551168,4.435836257065044,M5,2016-09-01 00:00:00+00:00
5789,0.48851269649334944,2.7534354929670815,4.3801720481937645,M5,2016-10-01 00:00:00+00:00
5922,0.4876730834177643,4.782254258856365,7.482813852276396,M5,2016-11-01 00:00:00+00:00
5754,0.48470629127563436,3.416922412970742,5.073275891938769,M5,2016-12-01 00:00:00+00:00
5720,0.4986013986013986,3.4966722716323817,4.967729097042069,M5,2017-01-01 00:00:00+00:00
5440,0.4948529411764706,2.810671259714834,4.190694430015253,M5,2017-02-01 00:00:00+00:00
6281,0.4932335615347875,2.6661901653663795,3.9963505405761914,M5,2017-03-01 00:00:00+00:00
5244,0.4952326468344775,2.6910585631307455,4.088047341326808,M5,2017-04-01 00:00:00+00:00
6273,0.49290610553164355,2.4856424412315117,3.6205240394123055,M5,2017-05-01 00:00:00+00:00
6025,0.48,2.403908975409338,3.778080798449894,M5,2017-06-01 00:00:00+00:00
5743,0.4913808114226014,2.346285158509081,3.531441054992239,M5,2017-07-01 00:00:00+00:00
6320,0.49936708860759493,2.4983442260326636,3.990714756386799,M5,2017-08-01 00:00:00+00:00
5702,0.4796562609610663,2.71002582523799,4.073539885679448,M5,2017-09-01 00:00:00+00:00
