track,feature_set,mode,mean_brier,mean_baseline_brier,mean_brier_improvement_vs_baseline,mean_log_loss,mean_baseline_log_loss,mean_log_loss_improvement_vs_baseline
tuned_price_only,price_only,tuned,0.250113080463457,0.2500113670539133,-0.00010171340954372628,0.6933867416967624,0.6931699147938075,-0.00021682690295491783
tuned_volume_assisted,volume_assisted,tuned,0.249975710688321,0.250009084702503,3.337401418204711e-05,0.693113411253205,0.6931653500822913,5.193882908638425e-05
vanilla_price_only,price_only,vanilla,0.2500962973873441,0.25000900316929825,-8.729421804587467e-05,0.6933496036157418,0.6931651870154422,-0.0001844166002998119
vanilla_volume_assisted,volume_assisted,vanilla,0.25001327762912423,0.25000900316929825,-4.274459825981403e-06,0.6931786427509902,0.6931651870154422,-1.3455735548080957e-05
