track,feature_set,mode,cost_bps,mean_net_return,mean_gross_return,mean_sharpe,mean_sortino,mean_max_drawdown,mean_turnover_units,mean_turnover_units_per_day,mean_position_change_events_per_day,mean_trade_count,mean_active_rate,mean_win_rate,mean_profit_factor,positive_fold_rate,folds_x,mean_roc_auc,std_roc_auc,mean_accuracy,mean_balanced_accuracy,mean_f1,mean_brier,mean_baseline_brier,mean_brier_improvement_vs_baseline,mean_log_loss,mean_baseline_log_loss,mean_log_loss_improvement_vs_baseline,folds_y,score_rank_net_return,score_rank_sharpe,score_rank_auc,simple_rank_score
tuned_price_only,price_only,tuned,1.0,0.003357334345171973,0.0405203907226123,0.04585618150400477,0.0546218607196702,-0.04316557528728526,349.0,0.9667590027700831,0.7100646352723915,174.66666666666666,0.25896016695399693,0.15956029313790807,0.3343329654912379,0.3333333333333333,3,0.5213584798675869,0.006510213676128264,0.5148553662949286,0.5150534788893498,0.49093254437239403,0.250113080463457,0.2500113670539133,-0.00010171340954372628,0.6933867416967624,0.6931699147938075,-0.00021682690295491783,3,2.0,1.0,2.0,5.0
vanilla_volume_assisted,volume_assisted,vanilla,1.0,0.022577801978820016,0.08656212303425337,-0.03971711786470763,0.16904142103352818,-0.09515782446256804,573.0,1.5890273930440137,1.180440135426285,286.6666666666667,0.43428659274972786,0.3165124405606797,0.6624218246327819,0.3333333333333333,3,0.5171662226268449,0.00970220516100388,0.5136165054580888,0.5119640905309446,0.5256482128601866,0.25001327762912423,0.25000900316929825,-4.274459825981403e-06,0.6931786427509902,0.6931651870154422,-1.3455735548080957e-05,3,1.0,2.0,4.0,7.0
tuned_volume_assisted,volume_assisted,tuned,1.0,-0.04875770719871394,-0.0027710481682747443,-0.9757048473553342,-0.9925126114294271,-0.060838839720037785,489.3333333333333,1.348921448921449,0.9257834757834758,244.66666666666666,0.27568466106060957,0.30116337495209033,0.6404711535621791,0.0,3,0.5228544660880293,0.011533138312050082,0.512478849718638,0.5120017036212609,0.4817168046830635,0.249975710688321,0.250009084702503,3.337401418204711e-05,0.693113411253205,0.6931653500822913,5.193882908638425e-05,3,3.0,3.0,1.0,7.0
vanilla_price_only,price_only,vanilla,1.0,-0.08547045327229863,-0.04597880649518812,-2.036234790111582,-1.4274990091555566,-0.10036961533386075,428.3333333333333,1.189106904688622,0.8698984302862419,214.33333333333334,0.3123329503373363,0.3067723855847225,0.5903344696732354,0.0,3,0.5203498962186883,0.007831050006944534,0.5135893699424247,0.5136442810448912,0.5071638135518791,0.2500962973873441,0.25000900316929825,-8.729421804587467e-05,0.6933496036157418,0.6931651870154422,-0.0001844166002998119,3,4.0,4.0,3.0,11.0
