model_family,model_family_key,track,feature_set,mode,display_name,mean_net_return_0bps,mean_net_return_0_5bps,mean_net_return_1bps,mean_net_return_2bps,mean_gross_return_1bps,mean_sharpe_1bps,mean_sortino_1bps,mean_max_drawdown_1bps,mean_turnover_units_per_day_1bps,mean_position_change_events_per_day_1bps,mean_trade_count_1bps,mean_active_rate_1bps,mean_profit_factor_1bps,positive_fold_rate_1bps,positive_fold_count_1bps,active_fold_count,stay_flat_fold_count,selected_trade_rate,all_stay_flat,worst_fold_net_return_1bps,best_fold_net_return_1bps,std_fold_net_return_1bps,drawdown_stop_count_1bps,mean_roc_auc,std_roc_auc,mean_balanced_accuracy,mean_brier_improvement_vs_baseline,mean_log_loss_improvement_vs_baseline,mean_validation_selected_net_return,mean_net_return_decay,mean_absolute_validation_to_test_decay,breakeven_cost_bps
LightGBM,lightgbm,tuned_volume_assisted,volume_assisted,tuned,LightGBM | tuned volume assisted,-0.0006651861402021,-0.0371609438662947,-0.0616945620076145,-0.0939892465676652,0.0132406834310145,-0.7564533947105527,-0.5915640032289793,-0.0931166572097769,2.147945775369598,1.8236811664789505,389.3333333333333,0.2199698875009109,0.6413239422847018,0.0,0,2,1,0.6666666666666666,False,-0.1063702892663382,0.0,0.05518958381622983,1,0.5217292604491732,0.0029231213833982,0.5153353376989052,3.137962984208031e-05,5.3925674113458654e-05,0.081020375901132,-0.1427149379087466,0.14271493790874656,0.0
LSTM,lstm,tuned_price_only,price_only,tuned,LSTM | tuned price only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0.0,True,0.0,0.0,0.0,0,0.5188444937221931,0.0050736807700359,0.5117909061132803,-0.000153278527877,-0.0003180184702498,0.0,0.0,0.0,5.0
CNN-LSTM,cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,CNN-LSTM | vanilla volume assisted,0.1037137776297017,0.0656652103486629,0.02257780197882,-0.0188553633347415,0.0865621230342533,-0.0397171178647076,0.1690414210335281,-0.095157824462568,1.5890273930440135,1.180440135426285,286.6666666666667,0.4342865927497278,0.6624218246327819,0.3333333333333333,1,2,1,0.6666666666666666,False,-0.1297952970346481,0.1975287029711081,0.1648258720637879,1,0.5171662226268449,0.0097022051610038,0.5119640905309446,-4.274459825981403e-06,-1.3455735548080956e-05,0.0271598987313197,-0.0045820967524997,0.11333223016501466,1.5449210024856597
