model_family,track,feature_set,mode,fold,cost_bps,selected_action,upper_threshold,lower_threshold,min_hold_bars,max_position_change_events_per_day,net_return,gross_return,sharpe,sortino,max_drawdown,turnover_units,turnover_units_per_day,position_change_events,position_change_events_per_day,trade_count,active_rate,win_rate,profit_factor,daily_loss_stop_triggered_count,total_drawdown_stop_triggered,model_family_display,display_name
LSTM,tuned_price_only,price_only,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,LSTM,LSTM | tuned price only
LSTM,tuned_price_only,price_only,tuned,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,LSTM,LSTM | tuned price only
LSTM,tuned_volume_assisted,volume_assisted,tuned,1,1.0,trade,0.53,0.47,2.0,5.0,-0.1242719644934374,0.002703951099793,-2.160533467139385,-2.1459349329124824,-0.1552786521096228,1354.0,3.750692520775624,1095,3.033240997229917,677,0.5501315670084385,0.4578875998191954,0.9449530066153043,0,True,LSTM,LSTM | tuned volume assisted
LSTM,tuned_volume_assisted,volume_assisted,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,LSTM,LSTM | tuned volume assisted
LSTM,tuned_volume_assisted,volume_assisted,tuned,3,1.0,trade,0.53,0.47,2.0,5.0,-0.1167883199374935,-0.0531270722847015,-2.0932312330063287,-1.516946944122735,-0.1534247855871103,696.0,1.912087912087912,578,1.5879120879120878,348,0.3177348029833014,0.4661610268378063,0.9309638288691112,2,True,LSTM,LSTM | tuned volume assisted
CNN-LSTM,vanilla_price_only,price_only,vanilla,1,1.0,trade,0.51,0.49,1.0,3.0,-0.147690557560014,-0.1238391820324865,-4.2178596881354204,-2.177896651588304,-0.1524390986486757,276.0,0.7645429362880887,184,0.5096952908587258,138,0.1702204881589692,0.4473282442748091,0.8131194174068691,2,True,CNN-LSTM,CNN-LSTM | vanilla price only
CNN-LSTM,vanilla_price_only,price_only,vanilla,2,1.0,trade,0.52,0.48,1.0,3.0,-0.1087208022568818,-0.0140972374530777,-1.8908446821993248,-2.104600375878367,-0.1486697473529065,1009.0,2.8027777777777776,756,2.1,505,0.7667783628530397,0.4729889124793583,0.9578839916128372,2,False,CNN-LSTM,CNN-LSTM | vanilla price only
CNN-LSTM,vanilla_price_only,price_only,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,CNN-LSTM,CNN-LSTM | vanilla price only
CNN-LSTM,vanilla_volume_assisted,volume_assisted,vanilla,1,1.0,trade,0.53,0.47,1.0,3.0,0.1975287029711081,0.3273175409745008,2.498143685063846,2.9856094373440056,-0.1349357589054511,1029.0,2.850415512465374,767,2.1246537396121883,515,0.7667180836584702,0.4872572134276411,1.0564127946765418,3,False,CNN-LSTM,CNN-LSTM | vanilla volume assisted
CNN-LSTM,vanilla_volume_assisted,volume_assisted,vanilla,2,1.0,trade,0.53,0.47,1.0,3.0,-0.1297952970346481,-0.0676311718717407,-2.6172950386579688,-2.478485174243421,-0.1505377144822529,690.0,1.9166666666666667,510,1.4166666666666667,345,0.5361416945907133,0.4622801082543978,0.9308526792218038,2,True,CNN-LSTM,CNN-LSTM | vanilla volume assisted
CNN-LSTM,vanilla_volume_assisted,volume_assisted,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,CNN-LSTM,CNN-LSTM | vanilla volume assisted
CNN-LSTM,tuned_price_only,price_only,tuned,1,1.0,trade,0.52,0.48,1.0,3.0,0.0100720030355159,0.1215611721678369,0.1375685445120143,0.1638655821590106,-0.1294967258618558,1047.0,2.9002770083102494,769,2.1301939058171744,524,0.7768805008619908,0.4786808794137241,1.0029988964737138,8,False,CNN-LSTM,CNN-LSTM | tuned price only
CNN-LSTM,tuned_price_only,price_only,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,CNN-LSTM,CNN-LSTM | tuned price only
CNN-LSTM,tuned_price_only,price_only,tuned,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,CNN-LSTM,CNN-LSTM | tuned price only
CNN-LSTM,tuned_volume_assisted,volume_assisted,tuned,1,1.0,stay_flat,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,False,CNN-LSTM,CNN-LSTM | tuned volume assisted
CNN-LSTM,tuned_volume_assisted,volume_assisted,tuned,2,1.0,trade,0.55,0.45,2.0,3.0,-0.0069982789506826,0.0389152274234554,-0.4791632459682661,-0.2894230975986067,-0.0300714901047252,452.0,1.2555555555555555,356,0.9888888888888888,226,0.1699890127138597,0.4268199233716475,0.977786161730324,0,False,CNN-LSTM,CNN-LSTM | tuned volume assisted
CNN-LSTM,tuned_volume_assisted,volume_assisted,tuned,3,1.0,trade,0.51,0.49,3.0,3.0,-0.1392748426454592,-0.0472283719282796,-2.4479512960977368,-2.6881147366896747,-0.1524450290553881,1016.0,2.791208791208791,651,1.7884615384615383,508,0.6570649704679691,0.4766702014846235,0.9436272989562132,1,True,CNN-LSTM,CNN-LSTM | tuned volume assisted
