track,feature_set,mode,mean_roc_auc,std_roc_auc,mean_accuracy,mean_balanced_accuracy,mean_f1,mean_brier,mean_baseline_brier,mean_brier_improvement_vs_baseline,mean_log_loss,mean_baseline_log_loss,mean_log_loss_improvement_vs_baseline,folds,model_family_display
tuned_price_only,price_only,tuned,0.5218455261008995,0.0044948429180499,0.5148826335155282,0.5149740356860036,0.500074335481733,0.2500322410563771,0.2500063444425034,-2.589661387366668e-05,0.6932269691119745,0.6931598695465956,-6.709956537903324e-05,3,LightGBM
tuned_volume_assisted,volume_assisted,tuned,0.5217292604491732,0.0029231213833982,0.5151476902908239,0.5153353376989052,0.5036749970964636,0.2499749648126613,0.2500063444425034,3.137962984208031e-05,0.693105943872482,0.6931598695465956,5.3925674113458654e-05,3,LightGBM
vanilla_price_only,price_only,vanilla,0.5217883985706274,0.0042642644952241,0.5131803340007575,0.5134766321471887,0.498998371663033,0.2499185514749917,0.2500063444425034,8.779296751163631e-05,0.6929905369577086,0.6931598695465956,0.0001693325888868,3,LightGBM
vanilla_volume_assisted,volume_assisted,vanilla,0.5203352410880177,0.0018772568267103,0.5118524706423524,0.5121518473516599,0.5023286132752474,0.2500535665111428,0.2500063444425034,-4.722206863939464e-05,0.6932638075811651,0.6931598695465956,-0.0001039380345696,3,LightGBM
tuned_price_only,price_only,tuned,0.5188444937221931,0.0050736807700359,0.5126711094414801,0.5117909061132803,0.5265015131842474,0.2501641850909576,0.2500109065630806,-0.000153278527877,0.6934870122807372,0.6931689938104872,-0.0003180184702498,3,LSTM
tuned_volume_assisted,volume_assisted,tuned,0.5192332389715943,0.007697293322565,0.5131862804535837,0.5131371918744175,0.5088840412087533,0.2504515498619784,0.2500066578939522,-0.0004448919680261,0.6940749793224876,0.6931604964318948,-0.0009144828905928,3,LSTM
vanilla_price_only,price_only,vanilla,0.5221271866168137,0.0054116323185524,0.5137638244398656,0.5136572278548704,0.4715870281588241,0.2504219689972951,0.2500090031692982,-0.0004129658279969,0.6940192854918953,0.6931651870154422,-0.0008540984764532,3,LSTM
vanilla_volume_assisted,volume_assisted,vanilla,0.5156594623453415,0.0032340525367365,0.5103722718098823,0.5103082287837268,0.4758043115771769,0.2506710352897501,0.2500090031692982,-0.0006620321204519,0.6945102182052274,0.6931651870154422,-0.0013450311897852,3,LSTM
tuned_price_only,price_only,tuned,0.5213584798675869,0.0065102136761282,0.5148553662949286,0.5150534788893498,0.490932544372394,0.250113080463457,0.2500113670539133,-0.0001017134095437,0.6933867416967624,0.6931699147938075,-0.0002168269029549,3,CNN-LSTM
tuned_volume_assisted,volume_assisted,tuned,0.5228544660880293,0.01153313831205,0.512478849718638,0.5120017036212609,0.4817168046830635,0.249975710688321,0.250009084702503,3.337401418204711e-05,0.693113411253205,0.6931653500822913,5.193882908638425e-05,3,CNN-LSTM
vanilla_price_only,price_only,vanilla,0.5203498962186883,0.0078310500069445,0.5135893699424247,0.5136442810448912,0.5071638135518791,0.2500962973873441,0.2500090031692982,-8.729421804587467e-05,0.6933496036157418,0.6931651870154422,-0.0001844166002998,3,CNN-LSTM
vanilla_volume_assisted,volume_assisted,vanilla,0.5171662226268449,0.0097022051610038,0.5136165054580888,0.5119640905309446,0.5256482128601866,0.2500132776291242,0.2500090031692982,-4.274459825981403e-06,0.6931786427509902,0.6931651870154422,-1.3455735548080956e-05,3,CNN-LSTM
