date,daily_net_log_return,daily_gross_log_return,daily_cost,active_bars,turnover_units,daily_net_return,model_family,track,fold,equity,display_name
2022-01-02 00:00:00+00:00,0.0,0.0,0.0,0,0.0,0.0,LightGBM,tuned_volume_assisted,1,1.0,LightGBM | tuned volume assisted
2022-01-03 00:00:00+00:00,-0.0036877628531027,-0.0032877628531027,0.0004,8,4.0,-0.0036809714066519117,LightGBM,tuned_volume_assisted,1,0.9963190285933481,LightGBM | tuned volume assisted
2022-01-04 00:00:00+00:00,0.0,0.0,0.0,0,0.0,0.0,LightGBM,tuned_volume_assisted,1,0.9963190285933481,LightGBM | tuned volume assisted
2022-01-05 00:00:00+00:00,-0.0033598425526474,-0.0031598425526474,0.0002,6,2.0,-0.003354204597639354,LightGBM,tuned_volume_assisted,1,0.9929771707269247,LightGBM | tuned volume assisted
2022-01-06 00:00:00+00:00,0.0006515071637457729,0.0008515071637457728,0.0002,4,2.0,0.0006517194406354676,LightGBM,tuned_volume_assisted,1,0.9936243132531947,LightGBM | tuned volume assisted
2022-01-07 00:00:00+00:00,0.00048533703790609994,0.0008853370379061,0.0004,8,4.0,0.000485454832982235,LightGBM,tuned_volume_assisted,1,0.9941066729782321,LightGBM | tuned volume assisted
2022-01-09 00:00:00+00:00,0.0,0.0,0.0,0,0.0,0.0,LightGBM,tuned_volume_assisted,1,0.9941066729782321,LightGBM | tuned volume assisted
2022-01-10 00:00:00+00:00,-0.0029739579998857434,-0.002573957999885743,0.0004,8,4.0,-0.002969540167361173,LightGBM,tuned_volume_assisted,1,0.9911546332821815,LightGBM | tuned volume assisted
2022-01-11 00:00:00+00:00,0.0007807378027057,0.0009807378027057,0.0002,4,2.0,0.0007810426577961049,LightGBM,tuned_volume_assisted,1,0.9919287673312471,LightGBM | tuned volume assisted
2022-01-12 00:00:00+00:00,-0.0013493864543205436,-0.0007493864543205435,0.0006000000000000001,28,6.0,-0.0013484764417845962,LightGBM,tuned_volume_assisted,1,0.9905911747565725,LightGBM | tuned volume assisted
2022-01-13 00:00:00+00:00,0.0029550549007288,0.0033550549007288002,0.0004,8,4.0,0.002959425379403191,LightGBM,tuned_volume_assisted,1,0.9935227554197599,LightGBM | tuned volume assisted
2022-01-14 00:00:00+00:00,0.0014683915378781685,0.0019683915378781685,0.0005,27,5.0,0.0014694701526107856,LightGBM,tuned_volume_assisted,1,0.9949827074547888,LightGBM | tuned volume assisted
2022-01-16 00:00:00+00:00,-0.0001,0.0,0.0001,0,1.0,-9.999500016666385e-05,LightGBM,tuned_volume_assisted,1,0.994883214158791,LightGBM | tuned volume assisted
2022-01-17 00:00:00+00:00,0.0,0.0,0.0,0,0.0,0.0,LightGBM,tuned_volume_assisted,1,0.994883214158791,LightGBM | tuned volume assisted
2022-01-18 00:00:00+00:00,-0.0008454236067840392,-0.00044542360678403916,0.0004,8,4.0,-0.0008450663369351519,LightGBM,tuned_volume_assisted,1,0.9940424718453236,LightGBM | tuned volume assisted
2022-01-19 00:00:00+00:00,-0.0011234875018563,-0.0009234875018563001,0.0002,4,2.0,-0.0011228566260553796,LightGBM,tuned_volume_assisted,1,0.9929263046692316,LightGBM | tuned volume assisted
2022-01-20 00:00:00+00:00,0.0005174077107268427,0.0007174077107268427,0.0002,4,2.0,0.0005175415891853774,LightGBM,tuned_volume_assisted,1,0.993440185326894,LightGBM | tuned volume assisted
2022-01-21 00:00:00+00:00,0.004339799902827289,0.004839799902827288,0.0005,15,5.0,0.004349230471751175,LightGBM,tuned_volume_assisted,1,0.9977608856527799,LightGBM | tuned volume assisted
2022-01-23 00:00:00+00:00,0.0005519256187694,0.0007519256187693999,0.0002,2,2.0,0.0005520779577390389,LightGBM,tuned_volume_assisted,1,0.998311727444843,LightGBM | tuned volume assisted
2022-01-24 00:00:00+00:00,-0.0013231207354325871,-0.0008231207354325871,0.0005,9,5.0,-0.0013222457971179269,LightGBM,tuned_volume_assisted,1,0.9969917139590155,LightGBM | tuned volume assisted
2022-01-25 00:00:00+00:00,-0.0012260275606540917,-0.0008260275606540918,0.0004,8,4.0,-0.0012252762959195085,LightGBM,tuned_volume_assisted,1,0.9957701236446734,LightGBM | tuned volume assisted
2022-01-26 00:00:00+00:00,-0.0038545718611577343,-0.003254571861157734,0.0006000000000000001,17,6.0,-0.0038471525348779956,LightGBM,tuned_volume_assisted,1,0.991939244089338,LightGBM | tuned volume assisted
2022-01-27 00:00:00+00:00,0.0,0.0,0.0,0,0.0,0.0,LightGBM,tuned_volume_assisted,1,0.991939244089338,LightGBM | tuned volume assisted
2022-01-28 00:00:00+00:00,0.0024324388588827977,0.0027324388588827976,0.00030000000000000003,11,3.0,0.0024353996384356424,LightGBM,tuned_volume_assisted,1,0.9943550125657433,LightGBM | tuned volume assisted
2022-01-30 00:00:00+00:00,-0.0001,0.0,0.0001,0,1.0,-9.999500016666385e-05,LightGBM,tuned_volume_assisted,1,0.9942555820360961,LightGBM | tuned volume assisted
2022-01-31 00:00:00+00:00,0.0010499087280473314,0.0012499087280473315,0.0002,4,2.0,0.0010504600751537474,LightGBM,tuned_volume_assisted,1,0.9953000078295238,LightGBM | tuned volume assisted
2022-02-01 00:00:00+00:00,6.800157594643108e-06,0.0006068001575946434,0.0006000000000000001,25,6.0,6.8001807158601935e-06,LightGBM,tuned_volume_assisted,1,0.9953067760494434,LightGBM | tuned volume assisted
2022-02-02 00:00:00+00:00,0.0009848158942161618,0.001184815894216162,0.0002,4,2.0,0.0009853009846174654,LightGBM,tuned_volume_assisted,1,0.9962874527958813,LightGBM | tuned volume assisted
2022-02-03 00:00:00+00:00,0.0036682660734689006,0.0038682660734689,0.0002,4,2.0,0.003675002395817417,LightGBM,tuned_volume_assisted,1,0.999948811571829,LightGBM | tuned volume assisted
2022-02-04 00:00:00+00:00,0.0,0.0,0.0,0,0.0,0.0,LightGBM,tuned_volume_assisted,1,0.999948811571829,LightGBM | tuned volume assisted
2022-02-06 00:00:00+00:00,0.0,0.0,0.0,0,0.0,0.0,LightGBM,tuned_volume_assisted,1,0.999948811571829,LightGBM | tuned volume assisted
2022-02-07 00:00:00+00:00,0.00016131778623499986,0.0003613177862349999,0.0002,4,2.0,0.0001613307986487733,LightGBM,tuned_volume_assisted,1,1.0001101341122078,LightGBM | tuned volume assisted
