date,daily_net_log_return,daily_gross_log_return,daily_cost,active_bars,turnover_units,daily_net_return,model_family,track,fold
2022-02-13 00:00:00+00:00,-0.00047101786732869997,-0.0002710178673287,0.0002,2,2.0,-0.0004709069558275214,LightGBM,vanilla_price_only,1
2022-02-14 00:00:00+00:00,0.010428454159494985,0.010928454159494986,0.0005,82,5.0,0.010483020001748722,LightGBM,vanilla_price_only,1
2022-02-15 00:00:00+00:00,0.012633965835240448,0.013033965835240448,0.0004,70,4.0,0.012714111545341522,LightGBM,vanilla_price_only,1
2022-02-16 00:00:00+00:00,-0.010050100875735763,-0.009650100875735762,0.0004,82,4.0,-0.009999767371984603,LightGBM,vanilla_price_only,1
2022-02-17 00:00:00+00:00,0.009165550232178682,0.009565550232178682,0.0004,40,4.0,0.009207682511170656,LightGBM,vanilla_price_only,1
2022-02-18 00:00:00+00:00,-0.004505457996558069,-0.0041054579965580686,0.0004,11,4.0,-0.00449532364635441,LightGBM,vanilla_price_only,1
2022-02-20 00:00:00+00:00,-0.00015775178598999997,-5.775178598999998e-05,0.0001,2,1.0,-0.00015773934383123134,LightGBM,vanilla_price_only,1
2022-02-21 00:00:00+00:00,-0.0006652564105992901,-0.00016525641059929032,0.0005,73,5.0,-0.000665035176615203,LightGBM,vanilla_price_only,1
2022-02-22 00:00:00+00:00,0.006765816496267703,0.007365816496267703,0.0006000000000000001,88,6.0,0.006788756339104696,LightGBM,vanilla_price_only,1
2022-02-23 00:00:00+00:00,0.007122557262176125,0.007722557262176125,0.0006000000000000001,88,6.0,0.007147983002737002,LightGBM,vanilla_price_only,1
2022-02-24 00:00:00+00:00,-0.023427427573745933,-0.022827427573745934,0.0006000000000000001,41,6.0,-0.02315513590163476,LightGBM,vanilla_price_only,1
2022-02-25 00:00:00+00:00,0.004599954717229928,0.004999954717229928,0.0004,8,4.0,0.004610550749790221,LightGBM,vanilla_price_only,1
2022-02-27 00:00:00+00:00,0.0021591812340584,0.0022591812340584,0.0001,2,1.0,0.002161513944471949,LightGBM,vanilla_price_only,1
2022-02-28 00:00:00+00:00,0.0019684095819765862,0.0024684095819765867,0.0005,84,5.0,0.0019703481718886806,LightGBM,vanilla_price_only,1
2022-03-01 00:00:00+00:00,-0.0015605503773646807,-0.0011605503773646805,0.0004,12,4.0,-0.0015593333517833763,LightGBM,vanilla_price_only,1
2022-03-02 00:00:00+00:00,0.001370141225850086,0.001770141225850086,0.0004,82,4.0,0.0013710802981776737,LightGBM,vanilla_price_only,1
2022-03-03 00:00:00+00:00,0.004270938035225196,0.0046709380352251955,0.0004,83,4.0,0.004280071489251691,LightGBM,vanilla_price_only,1
2022-03-04 00:00:00+00:00,0.024585480054220173,0.024885480054220175,0.00030000000000000003,84,3.0,0.024890195032392315,LightGBM,vanilla_price_only,1
2022-03-06 00:00:00+00:00,0.0004238599739796998,0.0006238599739796999,0.0002,2,2.0,0.000423949815311353,LightGBM,vanilla_price_only,1
2022-03-07 00:00:00+00:00,0.0023802945054095634,0.0028802945054095643,0.0005,84,5.0,0.0023831296554268633,LightGBM,vanilla_price_only,1
2022-03-08 00:00:00+00:00,-0.025079474757917993,-0.024479474757917993,0.0006000000000000001,60,6.0,-0.02476759741075807,LightGBM,vanilla_price_only,1
2022-03-09 00:00:00+00:00,0.02428858104594798,0.024688581045947983,0.0004,83,4.0,0.02458595131696284,LightGBM,vanilla_price_only,1
2022-03-10 00:00:00+00:00,0.0008957501448394056,0.0012957501448394055,0.0004,78,4.0,0.0008961514488141642,LightGBM,vanilla_price_only,1
2022-03-11 00:00:00+00:00,0.002387047553571127,0.002687047553571127,0.00030000000000000003,83,3.0,0.002389898819834091,LightGBM,vanilla_price_only,1
2022-03-13 00:00:00+00:00,0.0002306669374655,0.0004306669374655001,0.0002,6,2.0,0.00023069354312910129,LightGBM,vanilla_price_only,1
2022-03-14 00:00:00+00:00,0.0015895308079178945,0.0020895308079178945,0.0005,12,5.0,0.0015907947816322654,LightGBM,vanilla_price_only,1
2022-03-15 00:00:00+00:00,-0.01648523785725551,-0.01608523785725551,0.0004,80,4.0,-0.01635009993627068,LightGBM,vanilla_price_only,1
2022-03-16 00:00:00+00:00,-0.004262440705379196,-0.003862440705379196,0.0004,79,4.0,-0.004253369398208862,LightGBM,vanilla_price_only,1
2022-03-17 00:00:00+00:00,-0.004857561611454629,-0.004457561611454629,0.0004,79,4.0,-0.004845782738967519,LightGBM,vanilla_price_only,1
2022-03-18 00:00:00+00:00,-0.0027798756875182,-0.0023798756875182,0.0004,15,4.0,-0.0027760154109572888,LightGBM,vanilla_price_only,1
2022-03-20 00:00:00+00:00,0.0004564490096723696,0.0006564490096723696,0.0002,5,2.0,0.00045655319837334396,LightGBM,vanilla_price_only,1
2022-03-21 00:00:00+00:00,-0.006448717226080069,-0.006048717226080069,0.0004,77,4.0,-0.006427968873193413,LightGBM,vanilla_price_only,1
2022-03-22 00:00:00+00:00,-0.0021448595635057,-0.0017448595635056999,0.0004,15,4.0,-0.0021425609958940495,LightGBM,vanilla_price_only,1
2022-03-23 00:00:00+00:00,-0.011907281654722383,-0.011507281654722383,0.0004,80,4.0,-0.011836670516632175,LightGBM,vanilla_price_only,1
2022-03-24 00:00:00+00:00,0.007441490182594936,0.007841490182594935,0.0004,80,4.0,0.007469246878339719,LightGBM,vanilla_price_only,1
2022-03-25 00:00:00+00:00,0.001648668918575724,0.001948668918575724,0.00030000000000000003,79,3.0,0.00165002872036224,LightGBM,vanilla_price_only,1
2022-03-27 00:00:00+00:00,-0.00048152063722150005,-0.00018152063722150002,0.00030000000000000003,4,3.0,-0.00048140472476498886,LightGBM,vanilla_price_only,1
2022-03-28 00:00:00+00:00,-0.017214543755955585,-0.016814543755955584,0.0004,78,4.0,-0.017067220078882284,LightGBM,vanilla_price_only,1
2022-03-29 00:00:00+00:00,-0.0010133107900587408,-0.0004133107900587403,0.0006000000000000001,64,6.0,-0.001012797564047263,LightGBM,vanilla_price_only,1
2022-03-30 00:00:00+00:00,-0.0010791667213930114,-0.0006791667213930116,0.0004,12,4.0,-0.0010785846303966728,LightGBM,vanilla_price_only,1
2022-03-31 00:00:00+00:00,0.006041161176031305,0.006441161176031305,0.0004,80,4.0,0.006059445791768425,LightGBM,vanilla_price_only,1
2022-04-01 00:00:00+00:00,0.007824781550873437,0.008124781550873436,0.00030000000000000003,80,3.0,0.007855475158728753,LightGBM,vanilla_price_only,1
2022-04-03 00:00:00+00:00,0.0003293354789352486,0.0006293354789352486,0.00030000000000000003,4,3.0,0.0003293897158178627,LightGBM,vanilla_price_only,1
2022-04-04 00:00:00+00:00,0.00698545544103783,0.00738545544103783,0.0004,78,4.0,0.007009910645313644,LightGBM,vanilla_price_only,1
2022-04-05 00:00:00+00:00,0.0017867716221227508,0.0021867716221227506,0.0004,75,4.0,0.001788368849689581,LightGBM,vanilla_price_only,1
2022-04-06 00:00:00+00:00,-0.0008565952151774618,-0.00045659521517746186,0.0004,80,4.0,-0.0008562284422288791,LightGBM,vanilla_price_only,1
2022-04-07 00:00:00+00:00,0.0032175082195516768,0.0036175082195516765,0.0004,80,4.0,0.0032226899550582555,LightGBM,vanilla_price_only,1
2022-04-08 00:00:00+00:00,0.007324772576190476,0.007624772576190476,0.00030000000000000003,80,3.0,0.007351664341427533,LightGBM,vanilla_price_only,1
2022-04-10 00:00:00+00:00,0.0011489643469446925,0.0014489643469446927,0.00030000000000000003,4,3.0,0.0011496246593476478,LightGBM,vanilla_price_only,1
2022-04-11 00:00:00+00:00,-0.005373322364787562,-0.004973322364787562,0.0004,77,4.0,-0.005358911890430917,LightGBM,vanilla_price_only,1
2022-04-12 00:00:00+00:00,-0.006090983484562187,-0.005690983484562187,0.0004,80,4.0,-0.006072471050038941,LightGBM,vanilla_price_only,1
2022-04-13 00:00:00+00:00,-0.00029395222289960616,0.00010604777710039397,0.0004,13,4.0,-0.00029390902317794065,LightGBM,vanilla_price_only,1
2022-04-14 00:00:00+00:00,0.0024807891777438367,0.0027807891777438367,0.00030000000000000003,79,3.0,0.002483868881387963,LightGBM,vanilla_price_only,1
2022-04-17 00:00:00+00:00,-0.0063904007445249955,-0.006190400744524996,0.0002,6,2.0,-0.006370025558657955,LightGBM,vanilla_price_only,1
2022-04-18 00:00:00+00:00,0.00028417830926784056,0.0005841783092678406,0.00030000000000000003,10,3.0,0.0002842186917486611,LightGBM,vanilla_price_only,1
2022-04-19 00:00:00+00:00,-0.013340362423127666,-0.012940362423127667,0.0004,77,4.0,-0.013251774159064866,LightGBM,vanilla_price_only,1
2022-04-20 00:00:00+00:00,-0.0060468191561156735,-0.005646819156115673,0.0004,79,4.0,-0.006028573938862247,LightGBM,vanilla_price_only,1
2022-04-21 00:00:00+00:00,-0.00037111345945788825,2.8886540542111872e-05,0.0004,11,4.0,-0.0003710446053758476,LightGBM,vanilla_price_only,1
2022-04-22 00:00:00+00:00,-0.0102311346886253,-0.009931134688625299,0.00030000000000000003,77,3.0,-0.010178974667079399,LightGBM,vanilla_price_only,1
2022-04-24 00:00:00+00:00,-0.0009210656339926002,-0.0006210656339926,0.00030000000000000003,4,3.0,-0.0009206415832443415,LightGBM,vanilla_price_only,1
2022-04-25 00:00:00+00:00,0.011895980092907755,0.012295980092907756,0.0004,77,4.0,0.011967018675811847,LightGBM,vanilla_price_only,1
2022-04-26 00:00:00+00:00,-0.001260705191475372,-0.000860705191475372,0.0004,78,4.0,-0.0012599108365363154,LightGBM,vanilla_price_only,1
